"Nome","Handle","Plataforma","Seguidores","Contato","Nicho","Angulo","Categoria","Pais"
"Ulasan Webtoon ID","@UlasanWebtoonID","YOUTUBE","≈21K","ulasanwebtoonid@gmail.com","Indonesian — Webtoon Reviews","Review pitch for Indonesian market highlighting free full access","WEBTOON/MANGA","Indonesia"
"Manhwa Cerdas","@ManhwaCerdasID","YOUTUBE","≈48K","manhwacerdasid@gmail.com","Indonesian — Manhwa Recap format","Engaging action summary format suited for Southeast Asian views","WEBTOON/MANGA","Indonesia"
"Webtoon Review TH","@WebtoonReviewTH","YOUTUBE","≈35K","webtoonreviewth@gmail.com","Thai — Webtoon recommendations","High-action indie option with complete translation accessibility","WEBTOON/MANGA","Thailand"
"Anime Community TH","@AnimeCommunityTH","YOUTUBE","≈19K","animecommunityth@gmail.com","Thai — Anime/Manga Curation","Free anime-inspired action IP across webtoon and books","WEBTOON/MANGA","Thailand"
"Review Webtoon VN","@ReviewWebtoonVN","YOUTUBE","≈26K","reviewwebtoonvn@gmail.com","Vietnamese — Webtoon Analysis","Deep analysis of original indie action universe and worldbuilding","WEBTOON/MANGA","Vietnam"
"Truyen Tranh Hay","@TruyenTranhHayVN","YOUTUBE","≈42K","truyentranhhayvn@gmail.com","Vietnamese — Manga summaries/lists","Top free anime-inspired universes to dive into right now","WEBTOON/MANGA","Vietnam"
"Gamer Indie Indonesia","@GamerIndieID","YOUTUBE","≈33K","gamerindieid@gmail.com","Indonesian — Indie Game Reviews","Review pitch for tactical hex combat plus 36 score tracks","GAMES","Indonesia"
"RPG Taktis ID","@RPGTaktisID","YOUTUBE","≈7K","rpgtaktisid@gmail.com","Indonesian — SRPG / Turn-based RPG","Pure tactical gameplay analysis for niche community curators","GAMES","Indonesia"
"Indie Game Review TH","@IndieGameReviewTH","YOUTUBE","≈46K","indiegamereviewth@gmail.com","Thai — Indie Game Discovery","The extreme process behind creating a 4-media universe solo","GAMES","Thailand"
"SRPG Community TH","@SRPGCommunityTH","YOUTUBE","≈12K","srpgcommunityth@gmail.com","Thai — SRPG / Turn-based RPG","Anime-inspired tactical RPG system + cross-media book bridge","GAMES","Thailand"
"Indie Game Experience VN","@IndieGameExperienceVN","YOUTUBE","≈29K","indigameexperiencevn@gmail.com","Vietnamese — Indie Game Reviews","Story-rich tactical exploration and fraction system review","GAMES","Vietnam"
"Tactical Gamer VN","@TacticalGamerVN","YOUTUBE","≈14K","tacticalgamervn@gmail.com","Vietnamese — Turn-based strategy","Grid tactical combat optimization and faction breakdown","GAMES","Vietnam"
"Ulasan Novel Fantasi","@UlasanNovelFantasiID","YOUTUBE","≈8K","ulasannovelfantasiid@gmail.com","Indonesian — Fantasy book reviews","Review request for full free novel saga with associated OST","BOOKS","Indonesia"
"Sach Gia Tuong VN","@SachGiaTuongVN","YOUTUBE","≈15K","sachgiatuongvn@gmail.com","Vietnamese — Fantasy book reviews","Independent speculative fiction review copy invitation","BOOKS","Vietnam"
"Fantasy Book Review TH","@FantasyBookReviewTH","YOUTUBE","≈25K","fantasybookreviewth@gmail.com","Thai — Fantasy/Sci-Fi reviews","High-stakes serialized fiction available free digitally","BOOKS","Thailand"
