"Nome","Handle","Plataforma","Seguidores","Contato","Nicho","Angulo","Categoria","Pais"
"It's Nice That","@itsnicethat","Website / Instagram / Newsletter","≈2M+ monthly reach","submit@itsnicethat.com","Illustration","animation","visual culture","digital creative projects"
"Colossal","@thisiscolossal","Website / Newsletter / Social","≈1M+ visual culture audience","tips@colossal.art","Art","design","illustration","animation"
"Cartoon Brew","@cartoonbrew","Website / Newsletter / Social","≈300K+ animation audience","news@cartoonbrew.com","Animation industry","animation art","visual storytelling","creators"
"Hyperallergic","@hyperallergic","Website / Newsletter / Social","Large art/culture outlet","tips@hyperallergic.com","Art","visual culture","independent artists","digital creativity"
"The CRPG Addict","@CRPGAddict","Blog","-","crpgaddict@gmail.com","CRPGs","classic RPGs","turn-based RPG analysis","Pitch the tactical RPG as a free modern indie RPG with old-school decision density and deep worldbuilding."
"Game of Life Podcast","@sophdeng","Podcast / Substack","-","golifepod@gmail.com","Game design","game culture","developer interviews","Offer an interview angle on building a free action universe across game systems"
"GamesIndustry.biz","@GIBiz","Website / Newsletter","130K+ registered users","contact@gamesindustry.biz","B2B games industry news","analysis","business","Pitch the business story: 23 years of solo development - one creator built a free transmedia universe"
"Press Over","@PressOverNews","Website/Podcast/Newsletter","~8K X","info@pressover.news","Spanish-language game journalism and industry","Focus on solo development case and free universe as Latin American indie industry story","GAMES","Argentina"
"Akihabara Blues","@akihabarablues","Blog / web","-","redaccion@akihabarablues.com","Video games","indies","gamer culture","Present Illusion Fight as long-running independent project with free access and press-ready assets"
"Padre y Rolero","@padreyrolero","Podcast / blog","-","padreyrolero@gmail.com","RPG","video games and anime","Close pitch: free universe with lore","factions"
"Retrolaser","-","Blog","-","info@retrolaser.es","Retro video games","manga","anime and doujinshi","Pitch Illusion Fight as free indie universe with manga/game connections"
"Indie RPG Spotlight","@IRPGSpotlight","Newsletter","10K+","news@indierpgspotlight.com","Independent RPG Creation","Solo design crossover between digital and paper","GAMES","US"
"The Indie Game Legend","@IndieLegend","Blog","15K+","reviews@indiegamelegend.com","Hidden Independent Masterpieces","Ecosystem approach to indie world design","GAMES","US"
"Indie Dev Dispatch","@indiedevdispatch","NEWSLETTER","7.2K","dispatch@indiedevdispatch.com","English — Game Development","Solo developer creating massive 23-year IP","GAMES","US"
"The Narrative Designer","@narrativedesigner","BLOG","5K","design@narrativedesigner.com","English — Narrative Games & VNs","Worldbuilding across books, webtoons, and RPGs","GAMES","US"
"Indie Creator Chronicle","@indiecreatorchronicle","BLOG","7.5K","chronicle@indiecreatorchronicle.com","English — Independent Game Design","Solo creator building universe over two decades","GAMES","US"
