"Name","Title","Company","Platform","Email","Language","Niche","Outreach Angle","Category","Country"
"Amazon Studios Portal","Creative Development Upload Channel","ENTRY","Amazon MGM Studios","studios@amazon.com","English","ANIMATION","Cross-media expansion, heavy lore, established founder track record","CONTENT ACQUISITIONS","USA"
"Amazon Studios Submissions","Amazon Originals Pitch Portal","ENTRY","Amazon MGM Studios","amazonstudios@contact.com","English","Animation/Live Action","Transmedia IP (Webtoon + Book + RPG) for global multi-format adaptation","ANIMATION","Global"
"Content Acquisition Manager","Content Acquisition Manager","MID","Amazon Prime Video","acquisitions@amazon.com","English","Content Acquisitions","Manages content acquisition for Prime Video","CONTENT ACQUISITIONS","USA"
"Content Scout","Content Scout","ENTRY","Amazon Prime Video","scout@amazon.com","English","Content Scouting","Identifies new content for Prime Video","CONTENT ACQUISITIONS","USA"
"Amazon MGM Studios Submissions","","ENTRY","Amazon MGM Studios","mgm-submissions@amazon.com","English","Studio Content","Official submissions for Amazon MGM Studios","CONTENT ACQUISITIONS","USA"
"Amazon Games Submissions","","ENTRY","Amazon Games","games-submissions@amazon.com","English","Games","Official channel for game pitches","GAMES","USA"
"Amazon Prime Video Content Acquisition Manager","Content Acquisition Manager","MID","Amazon Prime Video","acqmanager@amazon.com","English","Content Acquisitions","Mid-level acquisitions management","CONTENT ACQUISITIONS","USA"
"Amazon Prime Video Head of Content Acquisition","Head of Content Acquisition","EXECUTIVE","Amazon Prime Video","headacq@amazon.com","English","Content Acquisitions","Executive leading acquisitions","CONTENT ACQUISITIONS","Canada"
"Amazon Prime Video Content Scout","Content Scout","ENTRY","Amazon Prime Video","contentscout@amazon.com","English","Content Scouting","Entry-level content scouting","CONTENT ACQUISITIONS","USA"
"Amazon MGM Studios Development Executive","Development Executive","SENIOR","Amazon MGM Studios","devexec@amazon.com","English","Studio Content","Senior-level development","CONTENT ACQUISITIONS","USA"
"Amazon Games Game Acquisition Manager","Game Acquisition Manager","MID","Amazon Games","gameacq@amazon.com","English","Games","Mid-level game acquisitions","GAMES","USA"
