CONTACT ID;EMAIL;sib_contact_owner;sib_next_task;SOBRENOME;NOME;_DETECTED_LANGUAGE;DOUBLE_OPT-IN;OPT_IN;CONTACT_TIMEZONE;EXT_ID;LINKEDIN;JOB_TITLE;WHATSAPP;LANDLINE_NUMBER;SMS;CATEGORIA;ANGULO;NICHO;SEGUIDORES;PLATAFORMA;REDE_SOCIAL;ADDED_TIME;MODIFIED_TIME
2479;contact@mangamanhwazone.com;;;;Manga & Manhwa Zone;;;;;;;;;;;WEBTOON/MANGA;Action-packed webtoon with tactical RPG ties;English — Manga & Manhwa;18K;BLOG;@mangamanhwazone;18-07-2026;18-07-2026
2480;press@jrpgchronicle.com;;;;JRPG Chronicle;;;;;;;;;;;GAMES;Tactical RPG with anime aesthetic and deep lore;English — JRPGs & Strategy RPGs;15K;BLOG;@jrpgchronicle;18-07-2026;18-07-2026
2486;quest@indiequest.com;;;;Indie Quest;;;;;;;;;;;GAMES;Hex-grid tactical systems built by solo creator;English — Indie RPGs & Systems;4K;NEWSLETTER;@indiequest;18-07-2026;18-07-2026
2488;spotlight@indierpgspotlight.com;;;;Indie RPG Spotlight;;;;;;;;;;;GAMES;Turn-based hex combat and narrative focus;English — Independent RPG Design;4.6K;NEWSLETTER;@indierpgspotlight;18-07-2026;18-07-2026
2491;contacto@desarrolloindie.com;;;;Desarrollo Independiente;;;;;;;;;;;GAMES;Lecciones dev solo 23 años producción constante universo gratuito;Spanish — Gamedev podcast;≈13K;PODCAST;@devindie;18-07-2026;18-07-2026
2493;estrategiahexagonal@gmail.com;;;;Estrategia Hexagonal;;;;;;;;;;;GAMES;Deep tactical hex-grid progression, fully free solo dev system;Spanish — Strategy & turn-based RPGs;≈14K;YOUTUBE;@EstrategiaHexagonal;18-07-2026;18-07-2026
2504;master@mesaderol.com;;;;Mesa de Rol;;;;;;;;;;;GAMES;Material gratis para DJ: mapas hexágonos, lore facciones, 36 pistas;Spanish — TTRPG podcast;≈40K;PODCAST;@mesaderol;18-07-2026;18-07-2026
2508;prensa@mundoindiepod.com;;;;Mundo Indie Podcast;;;;;;;;;;;GAMES;Dev latino 23 años programando RPG táctico transmedia gratis;Spanish — Indie game podcast;≈33K;PODCAST;@mundoindie;18-07-2026;18-07-2026
2555;info@librosfantasiapod.com;;;;Libros de Fantasía;;;;;;;;;;;BOOKS;Saga fantasía oscura gratis con webtoon y banda sonora;Spanish — Fantasy book podcast;≈28K;PODCAST;@librosfantasia;18-07-2026;18-07-2026
2576;redaccion@culturafrik.com;;;;Cultura Frik;;;;;;;;;;;PRESS;23 años para crear ecosistema gratis cómics, libros, música, RPG;Spanish — Geek culture podcast;≈75K;PODCAST;@culturafrik;18-07-2026;18-07-2026
