"Name","Title","Company","Platform","Email","Language","Niche","Outreach Angle","Category","Country"
"Disney+ Hotstar India","Content Acquisition & Strategy Team","ENTRY","Hotstar","content@hotstar.com","English","ANIMATION","Massive Indian market hungry for fresh, independent global IPs","CONTENT ACQUISITIONS","India"
"Hulu Originals Development","Scripted & Animation Content Acquisition","ENTRY","Hulu","hulu.proposals@hulu.com","English","ANIMATION","High-concept action universe, established platform co-founder","ANIMATION","USA"
"Hulu Originals Media Contact","Hulu Originals Media Contact","MID","Hulu Originals / Disney Entertainment","DGE.hulumedia@disney.com","English","Streaming originals media","Official Hulu Originals media inbox; use adaptation-ready Global South action universe angle.","PARTNERSHIPS","United States"
"Hulu Media Relations","General Media Relations Channel","ENTRY","Hulu / Disney Entertainment","hulu.media.relations@disney.com","English","Streaming media relations","Official Hulu general inquiries inbox; PR door into Hulu/Disney streaming comms.","PARTNERSHIPS","United States"
"Content Acquisition Manager","Content Acquisition Manager","MID","Disney+","acquisitions@disneyplus.com","English","Content Acquisitions","Manages content acquisition for Disney+","CONTENT ACQUISITIONS","UK"
"Felipe Becerra","Senior Manager, Content Engagement","SENIOR","Disney+","fbecerra@disneycareers.com","Spanish","Content Engagement","Manages content engagement for Disney+ and Star+","CONTENT ACQUISITIONS","Argentina"
"Disney+ Submissions","","ENTRY","Disney+","content@disneyplus.com","English","General","Official submissions for Disney+ content","CONTENT ACQUISITIONS","USA"
"Disney Animation Submissions","","ENTRY","Disney Animation","animation@disney.com","English","Animation","Official submissions for animated content","ANIMATION","USA"
"Disney Television Animation Submissions","","ENTRY","Disney Television Animation","tvanimation@disney.com","English","Animation","Official submissions for TV animation","ANIMATION","USA"
"Hulu Submissions","","ENTRY","Hulu","content@hulu.com","English","General","Official submissions for Hulu content","CONTENT ACQUISITIONS","USA"
"Hulu Media Inquiries","","ENTRY","Hulu","media@hulu.com","English","Press","Media and press inquiries","CONTENT ACQUISITIONS","USA"
"Hulu Originals Submissions","","ENTRY","Hulu Originals","originals@hulu.com","English","Original Content","Official submissions for Hulu Originals","CONTENT ACQUISITIONS","USA"
"Star+ Submissions","","ENTRY","Star+","conteudo@starplus.com","Portuguese","General","Official submissions for Star+ content","CONTENT ACQUISITIONS","Brazil"
"Disney+ Content Acquisition Manager","Content Acquisition Manager","MID","Disney+","acqmanager@disneyplus.com","English","Content Acquisitions","Mid-level acquisitions management","CONTENT ACQUISITIONS","UK"
"Disney+ Senior Manager, Content Engagement","Senior Manager, Content Engagement","SENIOR","Disney+","seniorcontent@disneyplus.com","English","Content Engagement","Senior-level content engagement","CONTENT ACQUISITIONS","Argentina"
"Disney Animation Development Coordinator","Development Coordinator","ENTRY","Disney Animation","devcoord@disney.com","English","Animation","Entry-level development coordination","ANIMATION","USA"
"Disney Television Animation Production Coordinator","Production Coordinator","ENTRY","Disney Television Animation","prodcoord@disney.com","English","Animation","Entry-level production coordination","ANIMATION","USA"
"Hulu Content Manager","Content Manager","MID","Hulu","contentmanager@hulu.com","English","Content Management","Mid-level content management","CONTENT ACQUISITIONS","USA"
"Hulu Originals Development Executive","Development Executive","SENIOR","Hulu Originals","devexec@hulu.com","English","Original Content","Senior-level development","CONTENT ACQUISITIONS","USA"
"Star+ Content Manager","Content Manager","MID","Star+","gerenteconteudo@starplus.com","Portuguese","General","Mid-level content management","CONTENT ACQUISITIONS","Brazil"
