CONTACT ID;EMAIL;sib_contact_owner;sib_next_task;SOBRENOME;NOME;_DETECTED_LANGUAGE;DOUBLE_OPT-IN;OPT_IN;CONTACT_TIMEZONE;EXT_ID;LINKEDIN;JOB_TITLE;WHATSAPP;LANDLINE_NUMBER;SMS;CATEGORIA;ANGULO;NICHO;SEGUIDORES;PLATAFORMA;REDE_SOCIAL;ADDED_TIME;MODIFIED_TIME
1257;animeamericapodcast@gmail.com;;;;Anime America;;;;;;;;;;;and fandom commentary;podcasts;Anime reviews;≈490K;YouTube / Podcast;@AnimeAmericaPodcast;11-07-2026;11-07-2026
1258;bentoanimeyt@gmail.com;;;;SeaTactics;;;;;;;;;;;shonen/seinen discussion;seasonal anime reviews;Anime analysis;≈126K YouTube;YouTube / Instagram;@SeaTactics;11-07-2026;11-07-2026
1259;bonsaipopteam@gmail.com;;;;Bonsai Pop;;;;;;;;;;;factions;Free anime-inspired action IP;Anime analysis & discussion;≈296K;YouTube;@BonsaiPop;11-07-2026;11-07-2026
1260;ilucontacto@gmail.com;;;;iLu;;;;;;;;;;;WEBTOON/MANGA;Pitch webtoon recommendation and faction lore for discovery video content;Anime and manga creator in Spanish;~177K Twitch;YouTube/Twitch;@iLuSioNzX;11-07-2026;11-07-2026
1261;info@comicsbeat.com;;;;The Beat;;;;;;;;;;;conventions;graphic novels;Comics;≈100K;Website / Newsletter;@ComicsBeat;11-07-2026;11-07-2026
1264;mangatama88@gmail.com;;;;mangatama;;;;;;;;;;;manga recommendations;manga hauls;Manga collecting;≈127K YouTube;YouTube / Instagram;@mangatama;11-07-2026;11-07-2026
1266;neil@getyourcomicon.co.uk;;;;Get Your Comic On;;;;;;;;;;;TV;movies;Comics;295K monthly visitors;Website / Podcast;@getyourcomicon1;11-07-2026;11-07-2026
1267;news@anitrendz.net;;;;Anime Trending;;;;;;;;;;;soundtrack/community polls;otaku culture;Anime charts;≈3M+ social;Website / X / Instagram / Discord;@Anitrendz;11-07-2026;11-07-2026
1268;nimrodmediainc@gmail.com;;;;ForneverWorld;;;;;;;;;;;and reactions;discussion;Anime and manga news;≈650K;YouTube / X;@ForneverWorld;11-07-2026;11-07-2026

