Name	Handle	Platform	Estimated Followers	Email	Niche	Outreach Angle	Category
Holodeck Design / Regras do Jogo	@holodeckdesign	Podcast / Site	~2K listeners	contato@holodeckdesign.com.br	Game design podcast com debates sobre indústria e estudos de jogos	Pitchar episódio sobre design de RPG tático, sistema de combate por turnos e construção de universo transmídia com webtoon, livros e OST.	GAME DESIGN PODCAST
A Mesa RPG Podcast	@amesarpgpodcast	Podcast / Instagram	~1.3K IG	amesarpgpodcast@gmail.com	Podcast de RPG de mesa com histórias originais (fantasia, suspense, terror)	Sugerir pauta sobre Lore e sistema tático de Illusion Fight como material para mesa de RPG, com cenário, facções e trilha sonora inclusos.	TTRPG
RPG Dub	@rpgdub	Podcast / Spotify	~1K+	rpgdub@gmail.com	RPG de mesa feito por dubladores	Pitchar o universo de ação e as vozes/dublagem como ângulo — potencial para campanha de RPG dublada com lore e facções prontas.	TTRPG
RPG Next	@rpgnext	Site / Podcast / YouTube	~5K+ mensal	contato@rpgnext.com.br	Rede de podcasts de RPG de mesa (Tarrasque na Bota, Pergaminhos na Bota)	Propor matéria/podcast sobre sistema tático, worldbuilding e uso de trilha sonora em narrativas de RPG.	TTRPG
PodRolar	@podrolar	Podcast / Instagram	~1K–5K	contato@podrolar.com.br (via site)	Podcast de cultura nerd, RPG, boardgame, filmes	Sugerir pauta sobre universo indie brasileiro que une RPG tático, literatura e música.	TTRPG
Fora do Plástico	@foradoplastico	Site / Instagram / Bluesky	~10K+ mensal	contato@foradoplastico.com.br (via formulário)	Maior site brasileiro de notícias de quadrinhos, HQs e webcomics	Enviar release do webtoon como quadrinho digital brasileiro gratuito com expansão para livros, RPG tático e OST.	INDIE COMICS
Galaxy Geek / Dr. Finança (seção HQs)	@galaxygeek	Site	~5K+ mensal	via formulário em galerageek.com	Notícias de HQs, mangás, games e tecnologia	Pitchar o webtoon como leitura gratuita no segmento de HQs independentes brasileiras.	INDIE COMICS
Zinnes	@zinnesbr	Plataforma / App	~10K+ leitores	via zinnes.com.br	Plataforma brasileira de HQs, mangás e quadrinhos digitais independentes	Propor parceria para hospedar webtoon na plataforma ou divulgação cruzada com leitores brasileiros de quadrinhos digitais.	INDIE COMICS
Fantasia BR	@fantasiabr	Blog / Facebook	~3K+ mensal	brfantasia@gmail.com	Blog especializado em literatura de fantasia, aceita resenhas e parcerias	Enviar os livros como série de fantasia/ ação gratuita para resenha, com webtoon e OST como bônus transmídia.	SFF BOOKS
Livros e Opinião	@livroseopiniao	Blog	~5K+ mensal	livroseopiniao@yahoo.com.br	Blog literário com resenhas, listas e notícias do mercado editorial brasileiro	Enviar release da série de livros gratuita de ação/ fantasia com gancho de autoria brasileira independente e múltiplas mídias.	SFF BOOKS
Sci-Fi do Brasil	@scifidobrasil	Site / Facebook	~2.2K assinantes newsletter	via formulário em scifibr.wordpress.com	Portal brasileiro de ficção científica desde 2009 (filmes, livros, games, séries)	Pitchar Illusion Fight como universo brasileiro de FC/ ação gratuito com livros, webtoon, RPG tático e OST.	SFF BOOKS
Geek Ninja	@geekninja	Site / Instagram	~5K+ mensal	via formulário em geekninja.com.br	Cultura geek: animes, games, livros, HQs, cosplay e tecnologia	Oferecer pauta sobre universo transmídia nacional gratuito que cruza livros, webtoon, RPG e música.	SFF BOOKS
Jornal dos Jogos	@jornaldosjogos	Newsletter / Substack / Site	~3K+ assinantes	via Substack (jornaldosjogos.com.br)	Maior newsletter brasileira de games (curadoria semanal de notícias)	Enviar release do RPG tático gratuito como indie brasileiro para inclusão na newsletter semanal de lançamentos.	INDIE GAMES NEWSLETTER
Indie Game BR	@indiegamebr	Site	~2K+ mensal	contact@indiegamebrazil.com (via site)	Site dedicado a jogos indie brasileiros com análises, notícias e catálogo	Pitch do RPG tático gratuito como game indie brasileiro com lore, facções, OST e narrativa transmídia.	INDIE GAMES NEWSLETTER
IndieVisível	@indievisivel	Podcast / Site	~1K+ ouvintes	indievisivel@gmail.com (via feedspot)	Podcast brasileiro sobre jogos independentes e reflexões sobre jogos digitais	Sugerir episódio sobre desenvolvimento de universo transmídia indie: como criar jogo + webtoon + livros + OST simultaneamente.	GAME DESIGN PODCAST
Game Design de Bolso	@gamedesigndebolso	Podcast	~1K+ ouvintes	gamedesigndebolso@gmail.com (via feedspot)	Podcast quinzenal sobre Game Design com foco em jogos mobile	Pitchar decisões de design do RPG tático: sistema de cartas, facções, balanceamento e progressão em jogo gratuito.	GAME DESIGN PODCAST
GameFM	@gamefmbr	Site / Podcast	~3K+ mensal	via gamefm.com.br (formulário)	Podcasts, notícias, análises e lives sobre games no Brasil	Enviar release do RPG tático e OST para cobertura no site/podcast, destacando gratuidade e universo transmídia.	INDIE GAMES NEWSLETTER
Controles Voadores	@controlesvoadores	Podcast / Spotify	~1K+ ouvintes	lucas.toso.email (via feedspot)	Podcast sobre jogos brasileiros, desenvolvimento indie e política nos games	Sugerir pauta sobre jogo indie brasileiro gratuito com universo transmídia (game + webtoon + livros + OST).	GAME DESIGN PODCAST
Cosplay Brasil	@cosplaybrasil	Site / Instagram / Facebook	~10K+ seguidores	via formulário em cosplaybrasil.com.br	Maior comunidade brasileira de cosplay, com cobertura de eventos e galerias de fotos	Pitchar personagens, facções e designs de Illusion Fight como素材 original para cosplay, com referências visuais e fichas de personagem.	COSPLAY
