"Nome","Handle","Plataforma","Seguidores","Contato","Nicho","Angulo","Categoria","Pais"
"Cultura Geek Latam","@CulturaGeekLatamYT","YOUTUBE","≈48K","culturageeklatam@gmail.com","Spanish — Geek Fandom News","Cross-media ecosystem launch story from solo Brazilian creator","PRESS","Mexico"
"Nerd Central ES","@NerdCentralES","YOUTUBE","≈35K","nerdcentrales@gmail.com","Spanish — Geek Pop Culture","Transmedia universe feature spanning RPG, webtoon, and music","PRESS","Spain"
"Universo Alterno","@UniversoAlternoTV","YOUTUBE","≈19K","universoalternotv@gmail.com","Spanish — Comics & Fandom culture","Webtoon-first action universe transitioning into fantasy books","PRESS","Argentina"
"Gamer Style Media","@GamerStyleMediaYT","YOUTUBE","≈27K","gamerstylemedia@gmail.com","Spanish — Gaming & Niche Press","Press release submission: 23-year development free transmedia","PRESS","Mexico"
"Fandom Sin Limites","@FandomSinLimites","YOUTUBE","≈14K","fandomsinlimites@gmail.com","Spanish — Geek culture summaries","Niche micro-influencer angle focusing on the free 36-track OST","PRESS","Colombia"
"Prensa Indie Latam","@PrensaIndieLatam","YOUTUBE","≈11K","prensaindielatam@gmail.com","Spanish — Independent Media News","Solo dev focus on building action ecosystem across four formats","PRESS","Chile"
"Otaku & Gamer Press","@OtakuGamerPress","YOUTUBE","≈23K","otakugamerpress@gmail.com","Spanish — Otaku/Gamer media crossover","Perfect fit for a multi-layered action universe pitch","PRESS","Peru"
"El Vortice Geek","@ElVorticeGeekYT","YOUTUBE","≈16K","elvorticegeek@gmail.com","Spanish — Pop culture discussion","Community feature on completely free indie universe alternative","PRESS","Mexico"
"Radar Geek Espana","@RadarGeekES","YOUTUBE","≈8K","radargeekes@gmail.com","Spanish — Micro-influencer geek culture","Curator introduction to tactical hex RPG + soundtrack release","PRESS","Spain"
"La Bitacora Frikis","@LaBitacoraFrikis","YOUTUBE","≈12K","bitacorafrikis@gmail.com","Spanish — Niche fandom reviews","Review pitch coordinating lore books and action webcomics","PRESS","Argentina"
"Geek Maratón","@GeekMaraton","YOUTUBE","≈34K","geekmaraton@gmail.com","Spanish — Anime, gaming, pop culture","Solo dev from Brazil building an action universe over 23 years","PRESS","Venezuela"
"Zona Geek Central","@ZonaGeekCentral","YOUTUBE","≈41K","zonageekcentral@gmail.com","Spanish — Pop culture & general nerd topics","One Latino creator spent 23 years building a massive free universe","PRESS","Costa Rica"
"Cortos e Indie","@CortosEIndieAnimacion","YOUTUBE","≈53K","cortoseindie@gmail.com","Spanish — Independent animation & shorts","Visual storytelling crossover with independent webtoon production","FILM","Colombia"
"Cultura Frik","@culturafrik","PODCAST","≈75K","redaccion@culturafrik.com","Spanish — Geek culture podcast","23 años para crear ecosistema gratis cómics, libros, música, RPG","PRESS","MX"
