"Name","Title","Company","Platform","Email","Language","Niche","Outreach Angle","Category","Country"
"Submission Team","Submissions Department","Dark Horse Comics","INDUSTRY","directhelp@darkhorse.com","English","Comics and Graphic Novels","Cross-media IP expansion (webtoon, RPG, soundtrack) by established indie publisher founder.","COMICS","United States"
"Submissions Board","Submissions Review Committee","Image Comics","INDUSTRY","submissions@imagecomics.com","English","Creator-Owned Comics","Pitching a fully built 23-year multi-format action universe with existing asset ecosystem.","COMICS","United States"
"Ablaze Submissions","Acquisitions Editor","Ablaze Publishing","INDUSTRY","info@ablazepublishing.com","English","Graphic Novels & Comics","Licensing translation and distribution of established three-language action webtoon.","COMICS","United States"
"TKO Pitches","Graphic Novel Acquisitions","TKO Studios","INDUSTRY","info@tkopresents.com","English","Graphic Novels","Pre-built action universe with tactical hex-grid RPG and complete soundtrack.","COMICS","United States"
"Mad Cave Team","Creator-Owned Submissions","Mad Cave Studios","INDUSTRY","submissions@madcavestudios.com","English","Indie Comics","Leveraging CTO credentials (FNAF/GOW) to pitch an existing cross-media universe.","COMICS","United States"
"Drawn & Quarterly","Editorial Submissions","Drawn & Quarterly","INDUSTRY","submissions@drawnandquarterly.com","English","Graphic Novels","Proposing cross-platform epic action lore integration.","COMICS","Canada"
"Top Shelf Team","Acquisitions Editor","Top Shelf Productions","INDUSTRY","chris@topshelfcomix.com","English","Graphic Novels","Leveraging 23-year solo development pedigree and extensive asset baseline.","COMICS","United States"
"SelfMadeHero Team","Graphic Novel Editorial","SelfMadeHero","INDUSTRY","submissions@selfmadehero.com","English","Graphic Novels & Manga","Global multi-language IP ready for immediate publication adaptation.","COMICS","United Kingdom"
"Antarctic Press","Manga Submissions","Antarctic Press","INDUSTRY","apsub@antarctic-press.com","English","AmeriManga & Action","Pitching an action universe featuring established webtoon and tactical gameplay.","COMICS","United States"
"Valiant Submissions","IP & Editorial Board","Valiant Entertainment","INDUSTRY","submissions@valiantentertainment.com","English","Superpowered Action","Synergizing deep action universe lore with established gaming background.","COMICS","United States"
"Boom! Studios","Editorial Submissions","Boom! Studios","INDUSTRY","submissions@boom-studios.com","English","Action & Sci-Fi Comics","Presenting a live, robustly developed action universe with cross-media infrastructure.","COMICS","United States"
"Oni Press Team","Submissions Editor","Oni Press","INDUSTRY","submissions@onipress.com","English","Indie Graphic Novels","Pitching established action IP from Brazil largest indie publisher co-founder.","COMICS","United States"
"Dynamite Editorial","Acquisitions Department","Dynamite Entertainment","INDUSTRY","proposals@dynamite.com","English","Action & Fantasy Comics","Adaptation pitch for a fully realized 36-track soundtrack action universe.","COMICS","United States"
