CONTACT ID;EMAIL;sib_contact_owner;sib_next_task;SOBRENOME;NOME;_DETECTED_LANGUAGE;DOUBLE_OPT-IN;OPT_IN;CONTACT_TIMEZONE;EXT_ID;LINKEDIN;JOB_TITLE;WHATSAPP;LANDLINE_NUMBER;SMS;CATEGORIA;ANGULO;NICHO;SEGUIDORES;PLATAFORMA;REDE_SOCIAL;ADDED_TIME;MODIFIED_TIME
749;admin@hexstrategyblog.com;;;;Hex Strategy Blog;;;;;;;;;;;GAMES;Hex-grid tactical combat mechanics and systems;English — Turn-Based Strategy;4.5K;BLOG;@hexstrategy;02-07-2026;06-07-2026
759;arena@gamersarena.com.ar;;;;Gamers Arena;;;;;;;;;;;GAMES;Free turn-based tactical RPG with strategic depth. Pitch for Argentine community.;Video games / Competitive;~8K;Web;@gamersarena;02-07-2026;06-07-2026
779;chulebaodaoxiaozu@chuapp.com;;;;Chuapp;;;;;;;;;;;book series;Pitch free webtoon;Chinese gaming community;-;Website;@chuapp;02-07-2026;06-07-2026
784;contact@adventuresinpoortaste.com;;;;AIPT Comics;;;;;;;;;;;movies;gaming;Comics;≈10K;Website / Podcast;@AIPTcomics;02-07-2026;06-07-2026
785;contact@balticgeek.net;;;;Baltic Geek Network;;;;;;;;;;;GAMES;Baltic states English-fluent community, tactical grid RPG systems;Geek Culture, Strategy Games;18K;YouTube;@balticgeeknet;02-07-2026;06-07-2026
786;contact@balticindieshowcase.com;;;;Baltic Indie Showcase;;;;;;;;;;;GAMES;Estonia/Latvia/Lithuania fluent English crowd, tactical hex grid RPG;Indie Games, Strategy, Turn-Based;38K;YouTube;@balticindieshow;02-07-2026;06-07-2026
787;contact@balticstrategychronicle.com;;;;Baltic Strategy Chronicle;;;;;;;;;;;GAMES;Estonia/Latvia/Lithuania fluent English crowd, tactical hex grid RPG;Indie Games, Strategy, Turn-Based;52K;YouTube;@balticstrategy;02-07-2026;06-07-2026
788;contact@baltictacticalgaming.com;;;;Baltic Tactical Gaming;;;;;;;;;;;GAMES;Estonia/Latvia/Lithuania fluent English crowd, tactical hex grid RPG;Indie Games, Strategy, Turn-Based;48K;YouTube;@baltictactical;02-07-2026;06-07-2026
790;contact@gameweavers.net;;;;Game Weavers;;;;;;;;;;;GAMES;Story consistency across book, webtoon, and game;Narrative Design Focus;18K+;Website;@GameWeavers;02-07-2026;06-07-2026
793;contact@indierangers.com;;;;Indie Rangers;;;;;;;;;;;Highlight the cross-media design and free public accessibility.;Indie games and creator highlights;English;approx 8K;Website;@indierangers;02-07-2026;06-07-2026
795;contact@nextgenbase.com;;;;Next Gen Base;;;;;;;;;;;GAMES;Turn-based tactical framework parameters;PC and Independent Software;30K+;Website;@NextGenBase;02-07-2026;06-07-2026
800;contact@strategyrpg.com.au;;;;Strategy RPG Hub AU;;;;;;;;;;;GAMES;Strategy RPG analysis;Hex-grid RPG combat breakdown;≈12K;YouTube;@strategyrpghubau;02-07-2026;06-07-2026
801;contact@tacticalgamingnews.com;;;;Tactical Gaming News;;;;;;;;;;;GAMES;Deep tactical systems and class customization;Turn-Based Strategy Focus;12K+;Blog;@TacticalGN;02-07-2026;06-07-2026
807;contacto@eurogaming.pt;;;;EuroGamingPT;;;;;;;;;;;GAMES;Highlight the 23-year solo production journey of a free tactical hex-grid RPG;Portuguese (European) — Independent gaming highlights and reviews;≈34K;YOUTUBE;@EuroGamingPT;02-07-2026;06-07-2026
810;contacto@indiegaming.pt;;;;IndieGamingPT;;;;;;;;;;;GAMES;Highlight the 23-year solo production journey of a free tactical hex-grid RPG;Portuguese (European) — Independent gaming highlights and reviews;≈29K;YOUTUBE;@IndieGamingPT;02-07-2026;06-07-2026
811;contacto@indiegamingptpro.pt;;;;IndieGamingPTPro;;;;;;;;;;;GAMES;Highlight the 23-year solo production journey of a free tactical hex-grid RPG;Portuguese (European) — Independent gaming highlights and reviews;≈26K;YOUTUBE;@IndieGamingPTPro;02-07-2026;06-07-2026
813;contacto@retrogamer.cl;;;;RetroGamer Chile;;;;;;;;;;;GAMES;Tactical RPG with classic soul. Pitch for retro and strategy game lovers.;Retro / Strategy;~2.5K;Web;@retrogamercl;02-07-2026;06-07-2026
817;corner@tacticalstrategycorner.com;;;;Tactical Strategy Corner;;;;;;;;;;;GAMES;Hex-grid gameplay systems and progression pitch;English — Tactical & Hex Strategy;5.2K;NEWSLETTER;@tacticalstrategycorner;02-07-2026;06-07-2026
832;discovery@indie.co.nz;;;;Indie Discovery NZ;;;;;;;;;;;GAMES;Indie game review;Solo developer indie journey;≈4K;YouTube;@indie.nz;02-07-2026;06-07-2026
842;editor@strategygamer.com;;;;Strategy Gamer;;;;;;;;;;;Focus on the grid mechanics and tactical depth of the free RPG.;Strategy and tactical gaming;English;approx 50K;Website;@strategygamer;02-07-2026;06-07-2026
843;editor@tacticalturn.com;;;;Tactical Turn;;;;;;;;;;;GAMES;Deep hex-grid systems and narrative universe;English — Tactical RPGs;3K;BLOG;@tacticalturn;02-07-2026;06-07-2026
844;editorial@voxelsmash.com;;;;Voxel Smash;;;;;;;;;;;GAMES;23-year lifecycle design case study;Indie Game Analysis;12K+;Website;@VoxelSmash;02-07-2026;06-07-2026
893;guide@thestrategyguide.com;;;;The Strategy Guide;;;;;;;;;;;GAMES;Hex-grid combat mechanics and encounter design;English — Turn-Based Strategy Design;6.8K;BLOG;@thestrategyguide;02-07-2026;06-07-2026
894;guide@turnbasedguide.com;;;;The Turn-Based Guide;;;;;;;;;;;GAMES;Tactical hex RPG with character progression;English — Turn-Based Strategy Games;7K;BLOG;@turnbasedguide;02-07-2026;06-07-2026
898;hello@diceandgrid.com.au;;;;Dice & Grid AU;;;;;;;;;;;GAMES;Tactical RPG mechanics;Hex-grid strategy RPG + faction lore;≈15K;YouTube;@diceandgridau;02-07-2026;06-07-2026
901;hello@ozrpgreview.com.au;;;;Oz RPG Review;;;;;;;;;;;GAMES;Tactical RPG mechanics;Free tactical RPG + webtoon worldbuilding;≈8K;YouTube;@ozrpgreview;02-07-2026;06-07-2026
974;info@emiratigamernet.com;;;;Emirati Gamer Network;;;;;;;;;;;GAMES;High-tier tactical RPG mechanics with full asset kit;English — Modern indie games, tactical strategy;≈74K;YOUTUBE;@EmiratiGamerNet;02-07-2026;06-07-2026
975;info@gamerdad.es;;;;Gamerdad;;;;;;;;;;;GAMES;Accessible and free tactical RPG. Angle for gamer parents and indie discovery.;Video games / Families;~4K;Web;@gamerdad;02-07-2026;06-07-2026
977;info@igijapan.com;;;;IGI Japan;;;;;;;;;;;GAMES;Pitch free tactical RPG and webtoon/book universe as unique indie discovery;Indie game news/reviews;-;Website;@igi_japan;02-07-2026;06-07-2026
978;info@juegosadn.es;;;;Juegos ADN;;;;;;;;;;;GAMES;Free tactical RPG with a decade of development. Pitch: A free universe in 4 formats.;Video games / Indie analysis;~25K;Web;@juegosadn;02-07-2026;06-07-2026
985;insider@gamedevinsider.com;;;;Game Dev Insider;;;;;;;;;;;GAMES;23-year development story of a tactical RPG;English — Game Dev & Solo Projects;9.5K;BLOG;@gamedevinsider;02-07-2026;06-07-2026
986;insider@hexcombatinsider.com;;;;Hex Combat Insider;;;;;;;;;;;GAMES;Tactical combat mechanics and system breakdown;English — Turn-Based Hex Strategy;2.9K;NEWSLETTER;@hexcombatinsider;02-07-2026;06-07-2026
987;insider@hexstrategyinsider.com;;;;Hex Strategy Insider;;;;;;;;;;;GAMES;Hex-grid mechanics and tactical encounter design;English — Turn-Based Tactical Games;3K;NEWSLETTER;@hexstrategyinsider;02-07-2026;06-07-2026
1019;koinya.net@gmail.com;;;;koi-nya;;;;;;;;;;;Present Illusion Fight as free action webtoon with shonen/seinen DNA and associated tactical RPG;anime and Japanese video games;Manga;-;Website/X;@koinya;02-07-2026;04-07-2026
1033;lexi@backlogbattle.com;;;;Backlog Battle;;;;;;;;;;;story-rich RPG discovery;tactical RPGs;JRPGs;≈53K YouTube;YouTube / X;@BacklogBattle;02-07-2026;06-07-2026
1055;news@indiegamesource.com;;;;Indie Game Source;;;;;;;;;;;GAMES;Free asset availability model breakdown;Developer Crowdfunding and Launches;22K+;Website;@IndieSource;02-07-2026;06-07-2026
1074;presents@indiegamehour.net;;;;Indie Game Hour;;;;;;;;;;;GAMES;Solo-dev hustle story: 23 years crafting a free tactical RPG universe;English — Indie game and gaming podcast shows;≈40K;PODCAST;@indiegamehour;02-07-2026;06-07-2026
1088;redaccion@cinexplay.es;;;;Cinexplay;;;;;;;;;;;GAMES;Free tactical RPG with anime aesthetic and 36 original tracks. Review and discovery.;Video games / Pop culture;~9K;Web;@cinexplay;02-07-2026;06-07-2026
1089;redaccion@gamersclub.com.ar;;;;Gamers Club Argentina;;;;;;;;;;;GAMES;Free hexagonal tactical RPG. Focus on Argentine indie scene and free access.;Video games / Indies;~7K;Web;@gamersclubar;02-07-2026;06-07-2026
1091;redaccion@pixelcrush.es;;;;Pixel Crush;;;;;;;;;;;GAMES;Free turn-based tactical RPG. Pitch for strategy and pixel art game lovers.;Indie / Retro / Strategy;~6K;Web;@pixelcrush;02-07-2026;06-07-2026
1092;redaccion@replay.com.mx;;;;Replay;;;;;;;;;;;GAMES;Free tactical game with webtoon universe. Coverage for Mexican market.;Video games / Gamer culture;~22K;Web;@replay.mx;02-07-2026;06-07-2026
1094;reviews@srpgcorner.com;;;;Strategy RPG Corner;;;;;;;;;;;GAMES;Free tactical hex-grid RPG and action webtoon;English — Tactical & Strategy RPGs;8K;BLOG;@srpgcorner;02-07-2026;06-07-2026
1123;spot@indiegamespot.com;;;;Indie Game Spot;;;;;;;;;;;GAMES;Tactical hex RPG built over 23 years solo;English — Indie Games Showcase;14K;NEWSLETTER;@indiegamespot;02-07-2026;06-07-2026
1124;spotlight@gamedevspotlight.com;;;;Game Dev Spotlight;;;;;;;;;;;GAMES;23-year history of crafting custom tactical RPG;English — Solo Game Development;8.8K;BLOG;@gamedevspotlight;02-07-2026;06-07-2026
1205;tactics@turnbasedtactics.com;;;;Turn Based Tactics Curator;;;;;;;;;;;GAMES;XCOM-style tactical grid gameplay feature;Tactical and Strategy Games;15K+;Steam;@TurnBasedTactics;02-07-2026;06-07-2026

