CONTACT ID;EMAIL;sib_contact_owner;sib_next_task;SOBRENOME;NOME;_DETECTED_LANGUAGE;DOUBLE_OPT-IN;OPT_IN;CONTACT_TIMEZONE;EXT_ID;LINKEDIN;JOB_TITLE;WHATSAPP;LANDLINE_NUMBER;SMS;CATEGORIA;ANGULO;NICHO;SEGUIDORES;PLATAFORMA;REDE_SOCIAL;ADDED_TIME;MODIFIED_TIME
1338;contact@casualempire.com;;;;Casual Empire;;;;;;;;;;;WEBTOON/MANGA;;;;Podcast;@Casual_Empire;11-07-2026;12-07-2026
1340;contact@firstissuereview.com;;;;First Issue Review;;;;;;;;;;;WEBTOON/MANGA;Webtoon starter pack formatting launch;New Comic Discoveries;8K+;Blog;@FirstIssueRev;11-07-2026;12-07-2026
1343;contact@mangapod.com;;;;Manga Pod;;;;;;;;;;;WEBTOON/MANGA;Free action universe with webtoon and deep lore book series;English — Anime and manga podcast shows;≈30K;PODCAST;@mangapod;11-07-2026;12-07-2026
1350;contact@webtooncentral.com;;;;Webtoon Central;;;;;;;;;;;WEBTOON/MANGA;Low-friction entry with comprehensive bonus lore;Webtoon Recommendations;18K+;Blog;@WebtoonCentral;11-07-2026;12-07-2026
1356;contacto@lahoraotaku.com;;;;La Hora Otaku;;;;;;;;;;;Angle webtoon + tactical RPG for classic otaku and podcast audience;anime and Japanese culture in Spanish;Manga;-;Podcast;@lahoraotaku;11-07-2026;12-07-2026
1359;contacto@techotaku.mx;;;;TechOtaku;;;;;;;;;;;WEBTOON/MANGA;Free webtoon with anime aesthetic and tactical game. Focus on innovation and otaku culture.;Technology / Anime;~3K;Web;@techotaku.mx;11-07-2026;12-07-2026
1360;contacto@universoanimanga.com;;;;Universo Animanga;;;;;;;;;;;WEBTOON/MANGA;Coverage of webtoon as independent work with novel and tactical game adaptation.;Anime / Manga;~4K;Web;@universoanimanga;11-07-2026;12-07-2026
1379;digest@animeworlddigest.com;;;;Anime World Digest;;;;;;;;;;;WEBTOON/MANGA;Action webtoon built within custom RPG universe;English — Anime & Manga Fandom;12.5K;BLOG;@animeworlddigest;11-07-2026;12-07-2026
1380;digest@mangawebtoondigest.com;;;;Manga & Webtoon Digest;;;;;;;;;;;WEBTOON/MANGA;Free action webtoon with rich fantasy world;English — Manga & Webtoons;13K;NEWSLETTER;@mangawebtoondigest;11-07-2026;12-07-2026
1381;digest@webtoondigest.com;;;;Webtoon Digest;;;;;;;;;;;WEBTOON/MANGA;Free action webtoon series built by solo creator;English — Webtoons & Webcomics;6.1K;NEWSLETTER;@webtoondigest;11-07-2026;12-07-2026
1385;editor@comicbookbin.com;;;;Comic Book Bin;;;;;;;;;;;WEBTOON/MANGA;Shonen-style action webtoon framework;Graphic Novels and Anime Aesthetics;45K+;Website;@ComicBookBin;11-07-2026;12-07-2026
1387;editor@comicbooksyeti.com;;;;Comic Book Yeti;;;;;;;;;;;Pitch the visual style and free digital release of the webtoon chapters.;Indie comics and webcomic curation;English;approx 15K;Website;@comicbooksyeti;11-07-2026;12-07-2026
1394;explorer@mangaexplorer.com;;;;Manga Explorer;;;;;;;;;;;WEBTOON/MANGA;Action webtoon linked with fantasy books;English — Manga & Anime Discovery;10.8K;NEWSLETTER;@mangaexplorer;11-07-2026;12-07-2026
1417;hello@animecoll.com.au;;;;Anime Collective AU;;;;;;;;;;;WEBTOON/MANGA;Anime-inspired webtoon;Webtoon with anime-style factions;≈24K;YouTube;@animecollau;11-07-2026;12-07-2026
1420;hello@comicculture.com.au;;;;Comic Culture AU;;;;;;;;;;;WEBTOON/MANGA;Webcomics review;Free independent webtoon series;≈11K;YouTube;@comiccultureau;11-07-2026;12-07-2026
1422;herald@webcomicherald.com;;;;The Webcomic Herald;;;;;;;;;;;WEBTOON/MANGA;Independent action webtoon with heavy lore;English — Webcomics Industry;4.6K;NEWSLETTER;@webcomicherald;11-07-2026;12-07-2026
1427;hosts@webtoonchat.com;;;;Webtoon Chat;;;;;;;;;;;WEBTOON/MANGA;Solo dev merged action webtoon with tactical hex-grid RPG over 23 years;English — Webtoon and manhwa dedicated podcast shows;≈15K;PODCAST;@webtoonchat;11-07-2026;12-07-2026
1428;hub@mangawebtoonhub.com;;;;Manga & Webtoon Hub;;;;;;;;;;;WEBTOON/MANGA;Free action webtoon with connected fantasy lore;English — Manga & Webcomics Review;12.5K;NEWSLETTER;@mangawebtoonhub;11-07-2026;12-07-2026
1439;info@animedownunder.com.au;;;;Anime Down Under;;;;;;;;;;;WEBTOON/MANGA;Anime-inspired action universe;Free action webtoon with anime DNA;≈25K;YouTube;@animedownunder;11-07-2026;12-07-2026
1445;info@mangaislandblog.com;;;;Manga Island;;;;;;;;;;;WEBTOON/MANGA;Free webtoon + fantasy book universe bridge;English — Manga Reviews;12K;BLOG;@mangaisland;11-07-2026;12-07-2026
1449;info@thegraphicnovelist.com;;;;The Graphic Novelist;;;;;;;;;;;WEBTOON/MANGA;Webtoon and book crossover format overview;English — Graphic Novels & Comics;6K;BLOG;@graphicnovelist;11-07-2026;12-07-2026
1454;insights@animeau.com;;;;Anime Insights AU;;;;;;;;;;;WEBTOON/MANGA;Anime-inspired webtoon;Action webtoon with lore depth;≈19K;YouTube;@animeinsightsau;11-07-2026;12-07-2026
1647;otaku@otakucircle.com;;;;Otaku Circle;;;;;;;;;;;WEBTOON/MANGA;Anime-inspired factions and deep worldbuilding;English — Otaku Culture & Anime;9K;NEWSLETTER;@otakucircle;11-07-2026;12-07-2026
