CONTACT ID;EMAIL;sib_contact_owner;sib_next_task;SOBRENOME;NOME;_DETECTED_LANGUAGE;DOUBLE_OPT-IN;OPT_IN;CONTACT_TIMEZONE;EXT_ID;LINKEDIN;JOB_TITLE;WHATSAPP;LANDLINE_NUMBER;SMS;CATEGORIA;ANGULO;NICHO;SEGUIDORES;PLATAFORMA;REDE_SOCIAL;ADDED_TIME;MODIFIED_TIME
2587;contacto@podcastotaku.es;;;;;;;;;;;;;;;WEBTOON/MANGA;Un universo gratuito de acción con webtoon, RPG táctico y 36 temas;Spanish — Anime/manga podcast;≈45K;PODCAST;@podcastotaku;26-07-2026;26-07-2026
2632;chroniques@salonfantastique.fr;;;;;;;;;;;;;;;BOOKS;Série dark fantasy épique distribuée gratuitement en numérique;French — Fantasy book podcast;≈30K;PODCAST;@salonfantastique;26-07-2026;26-07-2026
2638;contact@bdbulle.ch;;;;;;;;;;;;;;;WEBTOON/MANGA;Transmedia indie project featuring free webtoon;French — Swiss-French comics culture;≈8K;YOUTUBE;@BDBulleCH;26-07-2026;26-07-2026
2639;contact@bdparadis.fr;;;;;;;;;;;;;;;WEBTOON/MANGA;Solo creator 23-year transmedia project webtoon;French — Bande dessinée and indie comics;≈34K;YOUTUBE;@BDParadis;26-07-2026;26-07-2026
2640;contact@camgeeknet.cm;;;;;;;;;;;;;;;PRESS;Connect over the 23-year journey of a solo creator.;French — Geek culture and indie media;16K;YOUTUBE;@camgeeknet;26-07-2026;26-07-2026
2641;contact@culturegeekfr.com;;;;;;;;;;;;;;;PRESS;Projet cross-média 23 ans webtoon, RPG tactique, romans gratuits;French — Geek culture podcast;≈85K;PODCAST;@culturegeekfr;26-07-2026;26-07-2026
2642;contact@gamerindie.fr;;;;;;;;;;;;;;;GAMES;Pitch the free tactical hex-grid gameplay systems and extensive 36-track score;French — Independent gaming discovery and review features;≈15K;YOUTUBE;@GamerIndieFR;26-07-2026;26-07-2026
2643;contact@ivoriangeeknet.ci;;;;;;;;;;;;;;;PRESS;Connect over the 23-year journey of a solo creator.;French — Geek culture and indie media;22K;YOUTUBE;@ivoriangeeknet;26-07-2026;26-07-2026
2644;contact@journalduwebtoon.fr;;;;;;;;;;;;;;;WEBTOON/MANGA;Deep breakdown of free action webtoon with cross-media depth;French — Webtoon Curators & Reviewers;≈35K;YOUTUBE;@journalduwebtoon;26-07-2026;26-07-2026
2645;contact@jrpgfrance.com;;;;;;;;;;;;;;;GAMES;Story-driven RPG angle highlighting factions, grid combat, and character progression;French — JRPGs and deep RPG reviews;≈26K;YOUTUBE;@JRPGFrance;26-07-2026;26-07-2026
2646;contact@lepodgaming.com;;;;;;;;;;;;;;;GAMES;Créateur solo 23 ans développement jeu tactique entièrement gratuit;French — Indie game podcast;≈45K;PODCAST;@lepodgaming;26-07-2026;26-07-2026
2647;contact@mangacastfr.com;;;;;;;;;;;;;;;WEBTOON/MANGA;Univers transmédia gratuit webtoon, livres, RPG tactique hexagonale;French — Anime/manga podcast;≈40K;PODCAST;@mangacastfr;26-07-2026;26-07-2026
2648;contact@mangaculte.fr;;;;;;;;;;;;;;;WEBTOON/MANGA;Pitch the free action webtoon format and long-term transmedia production story;French — Manga and webtoon reviews;≈45K;YOUTUBE;@MangaCulte;26-07-2026;26-07-2026
2649;contact@senegalgeeknet.sn;;;;;;;;;;;;;;;PRESS;Connect over the 23-year journey of a solo creator.;French — Geek culture and indie media;14K;YOUTUBE;@senegalgeeknet;26-07-2026;26-07-2026
2650;contact@strategefrancais.fr;;;;;;;;;;;;;;;GAMES;XCOM style hex-grid tactical mechanics pitch;French — Strategy and tactical gaming;≈13K;YOUTUBE;@StrategeFrancais;26-07-2026;26-07-2026
2651;contact@stripgloss.be;;;;;;;;;;;;;;;WEBTOON/MANGA;Free webtoon from indie creator + full universe;French — Belgian comic and webtoon updates;≈22K;YOUTUBE;@StripGloss;26-07-2026;26-07-2026
2652;contact@zoneindiefr.com;;;;;;;;;;;;;;;GAMES;23-year solo developer project spanning multiple media;French — Indie Game Reviewers;≈19K;YOUTUBE;@zoneindiefr;26-07-2026;26-07-2026
2688;mj@latablejdr.fr;;;;;;;;;;;;;;;GAMES;Mine d'or gratuite MJ: lore factions, grilles hexagonales, 36 pistes;French — TTRPG podcast;≈50K;PODCAST;@latablejdr;26-07-2026;26-07-2026
2707;pro@pixelindie.fr;;;;;;;;;;;;;;;GAMES;Free hex-grid tactical RPG built by solo dev;French — Indie game reviews and discovery;≈8K;YOUTUBE;@PixellIndie;26-07-2026;26-07-2026
2719;studio@otakuhebdo.fr;;;;;;;;;;;;;;;WEBTOON/MANGA;Projet indépendant webtoon gratuite lore développé culture otaku;French — Anime/manga podcast;≈25K;PODCAST;@otakuhebdo;26-07-2026;26-07-2026
2750;contact@ecranfantastique.ca;;;;;;;;;;;;;;;FILM;Independent animation visual direction angle;French Canadian — Cinéma d'animation et courts métrages;≈25K;YOUTUBE;@EcranFantastiqueQC;26-07-2026;26-07-2026
2751;contact@legeekquebecois.ca;;;;;;;;;;;;;;;WEBTOON/MANGA;Solo dev transmedia indie universe focus;French Canadian — Culture geek et manga;≈45K;YOUTUBE;@LeGeekQuebecois;26-07-2026;26-07-2026
2752;contact@lheuredugeek.ca;;;;;;;;;;;;;;;PRESS;Brazilian solo developer success narrative;French Canadian — Actualité nerd et pop culture;≈19K;YOUTUBE;@LHeureDuGeekQC;26-07-2026;26-07-2026
2753;contact@podcastgeekqc.ca;;;;;;;;;;;;;;;PRESS;Solo creator building 4 mediums over 23 years;French Canadian — Actualité geek et transmédia;≈11K;YOUTUBE;@PodcastGeekQC;26-07-2026;26-07-2026
2754;contact@taniemesorciers.ca;;;;;;;;;;;;;;;BOOKS;Indie fantasy book series review copy;French Canadian — Livres fantasy et SFF;≈8.5K;YOUTUBE;@TaniereSorciers;26-07-2026;26-07-2026
2760;info@jeuxindieqc.com;;;;;;;;;;;;;;;GAMES;Tactical hex-grid RPG review request;French Canadian — Jeux vidéo indépendants;≈12K;YOUTUBE;@JeuxIndieQC;26-07-2026;26-07-2026
2776;pro@gamerdelest.ca;;;;;;;;;;;;;;;GAMES;Tactical progression and deep worldbuilding;French Canadian — Let's Plays et critiques RPG;≈55K;YOUTUBE;@GamerDeLEst;26-07-2026;26-07-2026

