"Nome","Handle","Plataforma","Seguidores","Contato","Nicho","Angulo","Categoria","Pais"
"Game Developer (Gamasutra)","GameDeveloper","Website","~500K monthly","news@gamedeveloper.com","Game dev news","postmortems","design articles","Solo dev pitch: Building a Tactical RPG + Webtoon + Book + 36 OSTs as one creator"
"Kirkus (Audiobook Reviews)","KirkusReviews","Website","Industry standard","indie@kirkus.com","Professional audiobook and book review service","Submit audiobook edition for professional Kirkus review; indie production story","BOOKS",""
"Unwinnable","@unwinnable","Website / Magazine","Niche games and culture magazine","exploitssubmissions@unwinnable.com","Games","books","music","essays"
"Anime Corner","@animecorner_ac","Website / X / Instagram","≈1M+ social","news@animecorner.me","Anime news","music news","rankings","otaku culture"
"Game Audio Podcast","@GameAudioPodcast","Podcast / Website","Niche game-audio audience","inbox@gameaudiopodcast.com","Interactive audio","sound design","game music","audio professionals"
"Game Music Foundation","@GameMusicNet","Website / Reviews / Events","Niche VGM press","contact@gamemusic.net","Game music news","reviews","interviews","concerts"
"The Sound Architect","@SoundArchitectUK","Podcast / Website / Instagram","Niche audio audience","sam@thesoundarchitect.co.uk","Game audio","voice acting","composers","sound design interviews"
"GXM Podcast (Games X Music)","@gxmpodcast","Podcast","1500","gxmpodcast@gmail.com","Video Game Music Podcast","Podcast exploring game music; pitch 36-track OST and how music supports tactical combat.","GAMES",""
"BGMania: A Video Game Music Podcast","@bgmania","Podcast","2000","bgmaniapodcast@gmail.com","Video Game Music Podcast","VGM podcast covering RPG soundtracks; pitch 36-track OST with magical/action themes.","GAMES",""
"Shujin Academy VGM Club","@shujinacademyvgmclub","Podcast","1000","shujinacademyvgmclub@gmail.com","Video Game Music Podcast","Mixtape-style VGM podcast; pitch 36-track OST for episode feature.","GAMES",""
"AniGod","@AniGod","YouTube","---","business.anigod@gmail.com","Manhwa and anime recommendations","Position Illusion Fight as a free manhwa-style action universe with faction combat and original music.","WEBTOON/MANGA",""
"Roll Fourth","@rollfourthpod","Podcast / YouTube","---","rollfourthpod@gmail.com","TTRPG actual-play podcast","Pitch Illusion Fight as a free tactical setting and soundtrack resource for actual-play and RPG fans.","GAMES",""
"Catherine Gunther","@CatherineRGunther","Blog","---","catherine.gunther@ymail.com","Fantasy and sci-fi book reviews","Send the free SFF/action book series for review with the webtoon as a visual companion and OST as mood material.","BOOKS",""
"Independent Book Review","-","Website / Book review platform","-","indiebookview@gmail.com","Indie and self-published book reviews","Send the free action-SFF book series as an indie review target with optional webtoon/game/OST context.","BOOKS","US"
"Comicstorian","@Comicstorian","YouTube","3.12M","Comicstorian@gmail.com","Comic book audiobooks/storytelling","Pitch free action webtoon universe for comic audiobook format - original IP with game/book/OST tie-ins","WEBTOON/MANGA","US"
"Anime Fever Blog","@animefeverblog","Blog","-","contact@animefeverblog.com","Shonen anime and manga","Offer the free webtoon and soundtrack as a discovery piece for shonen action fans.","WEBTOON/MANGA","US"
"The Anime View","@theanimeview","Blog","-","pswtheanimeview@gmail.com","Anime reviews and discussions","Pitch the free action webtoon and book series for review; mention the tactical RPG and OST.","WEBTOON/MANGA","US"
"Gamer.express","@gamerexpress","Website","-","hello@gamer.express","Gaming news and community","Pitch the free tactical RPG and its unique webtoon/book/OST universe for a feature or review.","GAMES","US"
"Books. Fantasy. Fandom.","@booksfantasyfandom","Blog","-","booksfantasyfandom@gmail.com","Fantasy book reviews and fandom","Pitch the free action fantasy book series; mention the webtoon and OST as companion pieces.","BOOKS","US"
"Even Footing Games","@evenfootinggames","Podcast","-","evenfootinggames@gmail.com","TTRPG actual play and game design","Offer the free tactical RPG and OST as a resource for actual-play and game design conversations.","GAMES","US"
"Anime Corner","@animecorner_ac","Website + Social","~200K+ across platforms","business@animecorner.me","Anime / Manga News","Pitch the webtoon and OST as anime-adjacent content with manga-inspired art","WEBTOON/MANGA","US"
"Todas Gamers","@todasgamers","Website/Podcast","-","todasgamers@gmail.com","Spanish video game criticism and culture","Send pitch of free indie tactical game with worldbuilding and no-cost entry","GAMES","Spain"
"Eurogamer.es","@eurogamer_es","Web","-","redaccion@eurogamer.es","Video game criticism and news","Focus as free indie rarity: tactical game + webtoon + books + OST","ideal for discovery coverage","GAMES"
"GamersRD","@gamersrd","Web","~8K","info@gamersrd.com","Video games / Indies","Free hexagonal tactical game with webtoon and soundtrack. Ideal for Dominican Republic coverage.","GAMES","Dominican Republic"
"NextN","@nextn","Web","~18K","info@nextn.es","Video games / Technology","Free indie tactical RPG with 36 music tracks. Discovery angle for strategy players.","GAMES","Spain"
"Webtooneros","@webtoonerosmx","Blog","~2K","webtoonerosmx@gmail.com","Webtoons / Manhwa","Free action webtoon with books and RPG. Focus on independent creator and no-cost access.","WEBTOON/MANGA","Mexico"
"El Rincon de la Fantasia","@rinconfantasia","Blog","~1K","elrincondefantasia@gmail.com","Fantasy / SFF","Free fantasy book series with webtoon and soundtrack. Review request.","BOOKS","Spain"
"Dados y Dragones","@dadosydragones","Podcast","~1K","dadosydragones@gmail.com","Actual Play / TTRPG","Fantasy world with tactical system. Proposal for worldbuilding and music episode.","GAMES","Mexico"
"La Maquina del Tiempo","@maquinatiempo","Blog","~700","lamaquinadeltiempo@gmail.com","SFF / Fantastic literature","Free fantasy book series. Review with webtoon and OST context.","BOOKS","Spain"
"Cuaderno de Heroes","@cuadernodeheroes","Blog","~600","cuadernodeheroes@gmail.com","Fantasy / Adventures","Free SFF books with visual (webtoon) and musical complement. Review request.","BOOKS","Colombia"
"Rol y Ficcion","@rolyficcion","Podcast","~800","rolyficcion@gmail.com","Tabletop RPG / Narrative","Dark fantasy world with factions and original music. Thematic episode proposal.","GAMES","Spain"
"Yo no se de juegos","@yonosedejuegos","Web","~5K","contacto@yonosedejuegos.com","Indie / Strategy","Free tactical RPG with 36 music tracks. Pitch for turn-based strategy players.","GAMES","Spain"
"AnimeZone","@animezonecr","Blog","~1.2K","animezone.cr@gmail.com","Anime / Manga","Free webtoon with anime aesthetic and narrative depth. Recommendation for Costa Rica.","WEBTOON/MANGA","Costa Rica"
"Fantasia sin Limites","@fantasiasinlimites","Blog","~1K","fantasiasinlimites@gmail.com","Fantasy / SFF","Free fantasy book series. Review and mention of webtoon and OST.","BOOKS","Spain"
"GameCast","@gamecast_blog","Blog / Website","-","gamecastblog@gmail.com","Japanese game review blog covering indie and mobile","Send concise review pitch for free tactical RPG and webtoon/book/OST bundle","GAMES","Japan"
"Bangladeshi Anime Podcast","@BangladeshiAnimePodcast","YouTube / Podcast","-","mdhasibulhossain369@gmail.com","Bangladeshi anime podcast and community discussion","Pitch podcast mention or segment around free anime-style webtoon universe with RPG and soundtrack hooks","WEBTOON/MANGA","Bangladesh"
"App no Majin","@appmajin","Website / X","-","press@kingpawn.jp","Japanese smartphone game news and app-game coverage","Pitch free accessible action universe and tactical RPG with webtoon, books, and OST extras","GAMES","Japan"
"QooApp Newsroom","@QooAppGlobal","Platform / News / Community","~11M app followers","newsroom@qoo-app.com","Anime game platform, ACG news, and otaku community","Lead with free anime-style tactical RPG and webtoon/books/OST as cross-format ACG discovery","GAMES","Hong Kong"
"TapTap","@TapTap","Platform / Community","-","cooperation@taptap.com","Chinese game discovery platform and player community","Pitch the free tactical RPG as a zero-cost indie discovery with webtoon/books/OST context","GAMES","China"
"GameHub.vn","@gamehub.vn","Website / Facebook","~592K Facebook","contact@gamehub.vn","Vietnamese game news and gamer social community","Offer free tactical RPG for review plus webtoon/books/OST as complete action universe","GAMES","Vietnam"
"KotakGame","@kotakgame","Website / Instagram / X","-","redaksi@kotakgame.com","Indonesian game, esports, tech, and anime-adjacent coverage","Pitch free action/tactical RPG with webtoon, books, and 36-track OST","GAMES","Indonesia"
"Anime india.Tm","@AnimeindiaTm","YouTube","","animeindiatm@gmail.com","",", tactical RPG, and OST for Hindi anime viewers. WEBTOON/MANGA","BOOKS","India"
"rosiepinkpopcorn","@rosiepinkpopcorn","YouTube","403","rosiepink403@gmail.com","",", RPG, and OST WEBTOON/MANGA","BOOKS","International"
"uncleman","@uuncleman","YouTube","","unclemancontact@gmail.com","",", art, webcomics Offer a creator-to-creator discovery pitch around a free webtoon/RPG/book/music universe WEBTOON/MANGA","GAMES","International"
"sarapyon1228","@sarapyon1228","YouTube","1228","sarapyon1228@gmail.com","","Frame Illusion Fight as a free anime-style story universe with tactical game and soundtrack hooks WEBTOON/MANGA","GAMES","International"
"Marissa Is Booked","@marissaisbooked","Website","","marissaisbooked@gmail.com","","Pitch the free SFF/action book series first, with webtoon, RPG, and OST as bonus immersion BOOKS","BOOKS","International"
"strawberryshojo","@strawberryshojo","Website","","strawberryshojo@gmail.com","",", tactical RPG, and soundtrack WEBTOON/MANGA","BOOKS","International"
"AKEHHH / Kororette","@kororette2","Website","2","akishourikawa@gmail.com","",", and OST WEBTOON/MANGA","BOOKS","Philippines"
"yomitsu","@yomitsu010","Twitch","010","yomitsuu@gmail.com","",", and soundtrack WEBTOON/MANGA","BOOKS","Finland"
"Mangaka Ody","@mangakaody","Website","","mangakaody@gmail.com","",", RPG, and OST WEBTOON/MANGA","BOOKS","International"
"nemuta mabuta","@nemuta_mabuta","Website","","nemutanemuta@gmail.com","",", and soundtrack universe WEBTOON/MANGA","BOOKS","Japan"
"Anime Club After Dark","@animeclubafterdark","Podcast","","animeclubafterdark@gmail.com","",", RPG, and OST WEBTOON/MANGA","BOOKS","US"
"Ryespops","@ryespops","Website","","ryespops@gmail.com","",", RPG, and soundtrack WEBTOON/MANGA","BOOKS","US"
"SunsetAgain","@sunsetagain","Linktree","","sunsetagain@gmail.com","",", tactical RPG, and OST for a creator/artist audience WEBTOON/MANGA","BOOKS","US"
