"Nome","Handle","Plataforma","Seguidores","Contato","Nicho","Angulo","Categoria","Status"
"Jovem Nerd","@jovemnerd","Site / Podcast / YouTube","≈5M+ nas redes","comercial@jovemnerd.com.br","Cultura nerd, podcasts, games, livros, HQs e entretenimento","Pitchar como universo brasileiro gratuito com potencial para pauta de criatividade, worldbuilding e cultura pop.","PRESS","Pendente"
"Omelete","@omelete","Site / YouTube / Redes sociais","≈10M+ nas redes","comercial@omelete.com.br","Cultura pop, cinema, séries, animes, games, HQs e música","Abordar como lançamento de IP nacional gratuito com quatro frentes de consumo e estética anime.","PRESS","Pendente"
"Legião dos Heróis","@LegiaoDosHerois","Site / Redes sociais","≈1M+ nas redes","contato@legiaodosherois.com.br","Super-heróis, cultura pop, animes, filmes e quadrinhos","Pitchar Illusion Fight como universo de ação brasileiro gratuito com facções, poderes e personagens fortes.","PRESS","Pendente"
"Chippu","@chippuoficial","Site / Redes sociais","≈100K+","contato@chippu.com.br","Cinema, séries, cultura pop, animes e entretenimento","Enviar release com gancho de cultura pop nacional e acesso gratuito para experimentar todas as mídias.","PRESS","Pendente"
"Hype Play","@hypeplay","Site / Redes sociais","≈10K+","info@hypeplay.com.br","Games, anime, cinema, tecnologia e cultura geek","Pitchar Illusion Fight como universo gratuito para cobertura de anime + games + cultura pop.","PRESS","Pendente"
"Universo HQ","@universohq","Site / Podcast","≈50K+","contato@universohq.com","Quadrinhos, HQs, webcomics, ilustração e cultura pop","Enviar release do webtoon e destacar que é quadrinho digital gratuito com expansão para livros, RPG e OST.","PRESS","Pendente"
"Poltrona Nerd","@poltronanerd","Site / Redes sociais","≈50K+","contato@poltronanerd.com.br","Cinema, séries, cultura pop, games e eventos","Enviar nota de lançamento destacando ação, trilha sonora e formato gratuito multiplataforma.","PRESS","Pendente"
"Cinema com Rapadura","@rapadura","Site / Podcast / YouTube","≈100K+","faleconosco@cinemacomrapadura.com.br","Cinema, séries, cultura pop e podcasts","Pitchar pelo ângulo de storytelling, universo original e trilha sonora como projeto transmídia nacional.","PRESS","Pendente"
"Marcha Nerd","@marchanerd","Evento / Bloco / Cultura geek","≈1K–10K","contato@marchanerd.com","Cultura nerd, eventos, música e fandom","Abordar como ação de cultura nerd nacional com potencial para divulgação comunitária e música/fanbase.","PRESS","Pendente"
"Trilha Sonora Geek","@trilhasgeek","Podcast","≈4.600","trilhasgeek@gmail.com","Música de Jogos","Illusion Fight tem uma trilha sonora com 36 faixas, composta especialmente para o universo de ação. Queremos convidar vocês para ouvir e comentar no podcast.","PRESS","Pendente"
