"Name","Title","Company","Platform","Email","Language","Niche","Outreach Angle","Category","Country"
"Globoplay Conteudo","Portal de Projetos Independentes","ENTRY","Globoplay","projetosindependentes@globo.com","Portuguese","LIVE ACTION","Home market leverage, Brazil largest indie publisher founder","CONTENT ACQUISITIONS","Brazil"
"Telecine Coproducoes","Aquisicoes de Conteudo Nacional","ENTRY","Telecine","coproducao@telecine.com.br","Portuguese","LIVE ACTION","LATAM high-action universe, multi-language ecosystem","CONTENT ACQUISITIONS","Brazil"
"Claro Video LATAM","America Movil Content Acquisition","ENTRY","Claro Video","conteudo@clarovideo.com","Spanish","LIVE ACTION","Broad infrastructure outreach across LATAM territories","CONTENT ACQUISITIONS","Mexico"
"Blim TV Content","Grupo Televisa Digital Procurement","ENTRY","Blim TV","blim-pitches@televisa.com.mx","Spanish","LIVE ACTION","Mexico-focused digital play for independent global IPs","CONTENT ACQUISITIONS","Mexico"
"DIRECTV GO LATAM","Vrio Corp Streaming Acquisitions","ENTRY","DIRECTV Play","content@vriocorp.com","Spanish","LIVE ACTION","South American distribution infrastructure seeking indie packages","CONTENT ACQUISITIONS","Argentina"
"Globoplay Conteudo","Submissoes de Conteudo Independente","ENTRY","Globoplay","globoplay@contato.com","Portuguese","Live Action/Animation","Brazilian creator, co-founder of country largest indie publisher","CONTENT ACQUISITIONS","Brazil"
"Globoplay Submissions","","ENTRY","Globoplay","conteudo@globoplay.com","Portuguese","General","Official submissions for Globoplay content","CONTENT ACQUISITIONS","Brazil"
"Globoplay Conteudo Independente","","ENTRY","Globoplay","independente@globoplay.com","Portuguese","Independent Content","Submissions for independent content","CONTENT ACQUISITIONS","Brazil"
"Telecine Submissions","","ENTRY","Telecine","conteudo@telecine.com.br","Portuguese","General","Official submissions for Telecine content","CONTENT ACQUISITIONS","Brazil"
"Blim TV Submissions","","ENTRY","Blim TV","conteudo@blim.com","Spanish","General","Official submissions for Blim TV content","CONTENT ACQUISITIONS","Mexico"
"DIRECTV Play Submissions","","ENTRY","DIRECTV Play","conteudo@directvplay.com","Spanish","General","Official submissions for DIRECTV Play content","CONTENT ACQUISITIONS","Latin America"
"Globoplay Content Manager","Content Manager","MID","Globoplay","gerenteconteudo@globoplay.com","Portuguese","General","Mid-level content management","CONTENT ACQUISITIONS","Brazil"
"Globoplay Head of Content","Head of Content","EXECUTIVE","Globoplay","diretordeconteudo@globoplay.com","Portuguese","General","Executive leading content","CONTENT ACQUISITIONS","Brazil"
"Telecine Content Manager","Content Manager","MID","Telecine","gerenteconteudo@telecine.com.br","Portuguese","General","Mid-level content management","CONTENT ACQUISITIONS","Brazil"
"Claro Video Content Manager","Content Manager","MID","Claro Video","gerenteconteudo@clarovideo.com","Spanish","General","Mid-level content management","CONTENT ACQUISITIONS","Mexico"
"Blim TV Content Manager","Content Manager","MID","Blim TV","gerenteconteudo@blim.com","Spanish","General","Mid-level content management","CONTENT ACQUISITIONS","Mexico"
"DIRECTV Play Content Manager","Content Manager","MID","DIRECTV Play","gerenteconteudo@directvplay.com","Spanish","General","Mid-level content management","CONTENT ACQUISITIONS","Latin America"
