CONTACT ID;EMAIL;sib_contact_owner;sib_next_task;SOBRENOME;NOME;_DETECTED_LANGUAGE;DOUBLE_OPT-IN;OPT_IN;CONTACT_TIMEZONE;EXT_ID;LINKEDIN;JOB_TITLE;WHATSAPP;LANDLINE_NUMBER;SMS;CATEGORIA;ANGULO;NICHO;SEGUIDORES;PLATAFORMA;REDE_SOCIAL;ADDED_TIME;MODIFIED_TIME
481;lavozdeljuego@gmail.com;;;;La Voz del Juego;;;;;;;;;;;Press release about free indie project with webtoon;Press / Video games;;~4K;Web;@lavozdeljuego;01-07-2026;01-07-2026
482;lightnovelcafe@gmail.com;;;;The Light Novel Café;;;;;;;;;;;BOOKS;Pitch the transmedia book series paired with a visual webtoon;Light novel and web novel community;4800;YouTube;@LNCafe;01-07-2026;01-07-2026
484;lightnovelhub@gmail.com;;;;The Light Novel Hub;;;;;;;;;;;BOOKS;Transmedia bridge from prose to action webtoon;English — Light novel & web novel reviews;≈18K;YOUTUBE;@TheLightNovelHub;01-07-2026;01-07-2026
490;lucidintohell@gmail.com;;;;LUCIDINTOHELL;;;;;;;;;;;GAMES;, video essays, creative writing Offer a video-essay/discovery angle about a free 23-year solo-built action universe across four media WEBTOON/MANGA;;23-;YouTube;@lucidintohell;01-07-2026;01-07-2026
491;lyonsoqueer@gmail.com;;;;Lyon So Queer;;;;;;;;;;;BOOKS;, tactical RPG, and OST for a queer podcast PRESS FR;;;Podcast;@lyonsoqueer;01-07-2026;01-07-2026
493;mangabound@gmail.com;;;;Manga Bound;;;;;;;;;;;WEBTOON/MANGA;Low-friction reading choice: free transmedia universe at illusionfight.com;English — Manga/Webtoon Reading Vlogs;≈41K;YOUTUBE;@MangaBound;01-07-2026;01-07-2026
494;mangacapsule@gmail.com;;;;Manga Capsule;;;;;;;;;;;WEBTOON/MANGA;Pitch free action webtoon universe with transmedia books/RPG;Manga and Webtoon recaps;5100;YouTube;@MangaCapsule;01-07-2026;01-07-2026
498;mangadeepdive@gmail.com;;;;Manga Deep Dive;;;;;;;;;;;WEBTOON/MANGA;Character design progression and transmedia worldbuilding architecture;English — Manga & Manhwa Analysis;≈50K;YOUTUBE;@MangaDeepDive;01-07-2026;01-07-2026
510;mbr@execpc.com;;;;Midwest Book Review;;;;;;;;;;;BOOKS;Pitch the free English SFF book series as indie/small-press review material with digital access.;Small press and independent book reviews;-;Website / Review publications;-;01-07-2026;02-07-2026
511;mecadesk@gamemeca.com;;;;GameMeca;;;;;;;;;;;PRESS;Pitch free tactical hex-grid RPG and transmedia universe;Korean gaming news;-;Website;@gamemeca;01-07-2026;02-07-2026
512;media@amanz.my;;;;Amanz;;;;;;;;;;;GAMES;, and geek culture portal Offer a n-language tech/geek angle on a free webtoon-plus-game universe built independently over 23 years. PRESS Malaysia;;23;Website;@amanz;01-07-2026;02-07-2026
513;media@gamedaim.com;;;;Gamedaim;;;;;;;;;;;PRESS;Pitch free tactical RPG and webtoon/book universe;Indonesian gaming community;-;Website;@gamedaim;01-07-2026;02-07-2026
514;media@god.in.th;;;;God.in.th;;;;;;;;;;;PRESS;Pitch free indie tactical RPG and webtoon/book universe;Thai gaming community;-;Website;@godinth;01-07-2026;02-07-2026
515;my.comicuniverse@gmail.com;;;;Comic Universe Malaysia;;;;;;;;;;;WEBTOON/MANGA;Independent martial-arts/action webtoon with an extensive transmedia package;English — WEBTOON/MANGA;≈33K;YOUTUBE;@comicuniverse_my;01-07-2026;01-07-2026
542;news@4gamers.com.tw;;;;4Gamers Taiwan;;;;;;;;;;;PRESS;Pitch free anime-inspired webtoon and tactical RPG with OST;Taiwanese gaming/esports press;-;Website;@4gamers_tw;01-07-2026;02-07-2026
543;news@appmarketinglabo.net;;;;App Marketing Labo;;;;;;;;;;;PRESS;Frame Illusion Fight as 23-year solo creator case study spanning free game/webtoon/books/OST;Japanese app/game marketing and creator case-study blog;-;Website / Blog;@appmarkelabo;01-07-2026;02-07-2026
544;news@gameres.com;;;;GameRes;;;;;;;;;;;PRESS;Submit industry-style pitch about solo developer building free game/webtoon/books/OST ecosystem;Chinese game industry media;-;Website;@GameRes;01-07-2026;02-07-2026
