"Nome","Handle","Plataforma","Seguidores","Contato","Nicho","Angulo","Categoria","Pais"
"Brandon Chen","@BrandonChen","YouTube","≈240K","brandonchen997@gmail.com","Manga/webtoon creator education","Indie manga/webtoon produção + free transmedia","WEBTOON/MANGA",""
"Noisy Pixel","@NoisyPixelNews","Website","—","pr@noisypixel.net","Games + manga + anime","Tactical RPG + webtoon + book + OST","PRESS",""
"GamesPress","@gamespress","Website","—","inbox@gamespress.com","","Press release wire","Press release formal com screenshots + trailer","PRESS"
"gamebiz","@gamebiz","Website","—","release@gamebiz.jp","International indie press","Indie game internacional","English welcome","PRESS"
"RPGamer","@RPGamer","Website","—","press@rpgamer.com","RPG genre","Processo formal de submissão indie documentado","PRESS",""
"TactiCon","—","Festival/Web","—","contact@tacticon.games","Strategy/tactics games festival","Festival de strategy games — fit perfeito","PRESS",""
"PC Gamer","@pcgamer","Website","—","tips@pcgamer.com","PC gaming","Dicas e press releases","PRESS",""
"WEBTOON Press","—","Platform","—","webtoonpress@webtoon.com","Webtoon platform press/media","Pitch para cobertura editorial da plataforma","PRESS",""
"Kenny Lauderdale","@kennylauderdale_en","YouTube","338K","kenny@protonmail.com","Lost anime media","VHS","Laserdisc","Unique retro anime collector audience crossover"
"Gamers Heroes","@GamersHeroes","Website","—","casey@gamersheroes.com","Gaming news/reviews","We love indies! - formal submission","PRESS",""
"Gaming Respawn","@GamingRespawnUK","Website","—","iancooper@gamingrespawn.com","Gaming reviews/news","Accepts press inquiries","review requests","PRESS"
"SUPERJUMP Magazine","@superjumpmag","Website/Medium","—","editors@superjumpmagazine.com","Gaming features/essays","Accepts game submissions - indie-friendly","PRESS",""
"Anime News Network","@anime","Website","—","newsroom@animenewsnetwork.com","Anime/manga news","Largest EN anime news - covers webtoon crossovers","PRESS",""
"Fangoria","@fangoria","Magazine/Web","—","press@fangoria.com","Horror/dark fantasy","Perfect for darker LDI lore","PRESS",""
"Shelf Awareness","@ShelfAwareness","Newsletter","70K+ subscribers","news@shelf-awareness.com","Book trade news","Essential daily book industry newsletter","PRESS",""
"Buried Treasure","@game_treasure","Website / Newsletter / X","≈15K","hello@buried-treasure.org","Hidden-gem indie games and overlooked releases","Pitch Illusion Fight as a free tactical RPG hidden gem with a full webtoon","book series","and OST attached."
"Indie Comix Dispatch","@indiecomixdispatch","Website / Magazine","≈10K","press@indiecomixdispatch.com","Independent comics news and press releases","Submit a press release around Illusion Fight as a free indie webtoon universe expanding into books","game","and music."
"The Guardian (Games)","guardian","Website","~2M+ UK readers","culture@theguardian.com","UK major newspaper games and culture coverage","Newsworthy indie angle: free transmedia universe from Brazilian creator","global English availability","PRESS"
"Metro GameCentral (UK)","MetroUK","Website","~200K UK readers","webnews@metro.co.uk","UK gaming/entertainment press","Free indie tactical RPG + soundtrack; UK gaming audience; indie dev story","PRESS",""
"Sword and Laser","SwordAndLaser","Podcast/YouTube","~25K","feedback@swordandlaser.com","SFF book club and discussion podcast","Free book series as book club pick; transmedia angle as unique discussion topic","BOOKS",""
"Adventures in SciFi Publishing","@AISFP","Podcast / Website / Newsletter","Niche SFF audience","adventuresinscifipublishing@gmail.com","SFF podcast","indie/small press release listings","reviews","Submit the free book series with synopsis"
"World Anvil","@WorldAnvil","Platform / Podcast / Community","≈100K+ community","hello@worldanvil.com","Worldbuilding tools","writers","GMs","lore communities"
"Animation World Network","@animationworld","Website / Newsletter","Large animation-industry audience","info@awn.com","Animation news","independent animation","visual effects","creative industry"
"GamesIndustry.biz","@GIBiz","Web","—","news@gamesindustry.biz","Game business press","Notícias da indústria de games","GAMES",""
"TouchArcade","@toucharcade","Web","—","tips@toucharcade.com","Mobile games","(Shutting down but still active)","PRESS",""
"GameDiscoverCo","@simoncarless","Newsletter/Substack","50K+","simon@gamediscover.co","Analise de descoberta de jogos Steam","Case de lancamento free-to-play com transmedia — angulo de dados","PRESS",""
"Bit Harmony: A Videogame Music Podcast","@BitHarmony","Podcast","800","bitharmony@gmail.com","Video Game Music Podcast","VGM podcast exploring human expression through game music; pitch OST + emotional score.","GAMES",""
"Playful Experiences Podcast","@PlayfulExperiences","Podcast","1000","contact@playfulexperiences.com","Game Design & Narrative","Game design podcast; pitch transmedia worldbuilding and interactive narrative.","GAMES",""
"Role Play Review","@ActualPlayBookClub","Podcast","---","actualplaybookclub@gmail.com","Actual-play discussion and RPG media review","Pitch Illusion Fight as a free story/game package for discussion: webtoon","books","tactical RPG"
"GameSpot","@gamespot","YouTube","","news@gamespot.com","Gaming news/reviews/guides","Submit press release: free transmedia indie action universe spanning webtoon","books","tactical RPG"
"IGN","@ign","YouTube","","tips@ign.com","Gaming/entertainment/pop culture","Submit press release: free transmedia indie action universe spanning webtoon","books","tactical RPG"
"Kotaku","@Kotaku","YouTube","","tips@kotaku.com","Gaming/geek culture news","Submit press release: free transmedia indie action universe spanning webtoon","books","tactical RPG"
"ScreenRant","@ScreenRant","YouTube","","pr@screenrant.com","Movies/TV/comics/gaming news","Submit press release: free transmedia indie action universe spanning webtoon","books","tactical RPG"
"Destructoid","@DTOID","YouTube","","press@destructoid.com","Gaming news/reviews","Submit press release: free transmedia indie action universe spanning webtoon","books","tactical RPG"
"Polygon","@Polygon","YouTube","","tips@polygon.com","Gaming/comics/pop culture","Submit press release: free transmedia indie action universe spanning webtoon","books","tactical RPG"
"ComicBook.com","@ComicBookDotCom","YouTube","","tips@comicbook.com","Comics/gaming/anime news","Submit press release: free transmedia indie action universe spanning webtoon","books","tactical RPG"
"GameRant","@GamerantOfficial","YouTube","","pr@gamerant.com","Gaming news/reviews","Submit press release: free transmedia indie action universe spanning webtoon","books","tactical RPG"
"Tabletop Tunes","@tabletoptunespod","Podcast","","TabletopTunesPod@gmail.com","TTRPG improv musical podcast","Lead with the free tactical hex-grid RPG and transmedia universe (webtoon + books + 36-track OST) as a unique angle for their TTRPG-focused audience.","GAMES",""
"Anime News Network","@animenewsnetwork","Web","","press@animenewsnetwork.com","Anime/manga industry news","Submit press release: free indie webtoon-to-transmedia action universe with manga-style art","tactical RPG","36-track OST"
"Foreword Reviews","@forewordreviews","Magazine / Website","300K readers annually","ebooks+magazine@forewordreviews.com","Indie book reviews and publishing coverage","Submit the SFF book series review package and highlight the free cross-media universe.","BOOKS","US"
"Midwest Book Review","-","Website / Review publications","-","mbr@execpc.com","Small press and independent book reviews","Pitch the free English SFF book series as indie/small-press review material with digital access.","BOOKS","US"
