CONTACT ID;EMAIL;sib_contact_owner;sib_next_task;SOBRENOME;NOME;_DETECTED_LANGUAGE;DOUBLE_OPT-IN;OPT_IN;CONTACT_TIMEZONE;EXT_ID;LINKEDIN;JOB_TITLE;WHATSAPP;LANDLINE_NUMBER;SMS;CATEGORIA;ANGULO;NICHO;SEGUIDORES;PLATAFORMA;REDE_SOCIAL;ADDED_TIME;MODIFIED_TIME
264;ask@nawalakarsa.id;;;;Nawala Karsa;;;;;;;;;;;BOOKS;, tactical RPG, and music. PRESS;;;YouTube;@nawalakarsa;01-07-2026;02-07-2026
268;bits@geeky.co.nz;;;;Geeky Bits NZ;;;;;;;;;;;PRESS;Geek culture press;Transmedia geek universe;≈5K;YouTube;@geekybitsnz;01-07-2026;02-07-2026
269;bodo@gamefocus.co.kr;;;;Game Focus Korea;;;;;;;;;;;PRESS;Pitch free tactical RPG plus webtoon/book universe as unusual indie action IP;Korean game media and game-industry news;-;Website / Facebook;@GameFocus_Twit;01-07-2026;02-07-2026
272;buzz@indiehive.com;;;;Indie Hive;;;;;;;;;;;GAMES;Solo dev cross-media production milestone;Independent Creative Projects;10K+;Website;@IndieHive;01-07-2026;02-07-2026
275;cave@fantasybookcave.com;;;;Fantasy Book Cave;;;;;;;;;;;BOOKS;Free book series part of transmedia project;English — Epic Fantasy Literature;5.5K;NEWSLETTER;@fantasybookcave;01-07-2026;02-07-2026
277;central@webcomicscentral.com;;;;Webcomics Central;;;;;;;;;;;WEBTOON/MANGA;Free high-stakes action webtoon release;English — Webcomics & Webtoons;5.1K;NEWSLETTER;@webcomicscentral;01-07-2026;02-07-2026
278;chronicle@fandomchronicle.com;;;;Fandom Chronicle;;;;;;;;;;;PRESS;Free transmedia universe coverage option;English — Pop Culture & Geek Fandom;15K;BLOG;@fandomchronicle;01-07-2026;02-07-2026
279;chronicle@geekculturechronicle.com;;;;Geek Culture Chronicle;;;;;;;;;;;PRESS;Massive free transmedia project profile;English — Geek Culture & Fandom;14.5K;BLOG;@geekculturechronicle;01-07-2026;02-07-2026
280;chronicle@webtoonchronicle.com;;;;Webtoon Chronicle;;;;;;;;;;;WEBTOON/MANGA;Free transmedia project led by action webtoon;English — Webtoons & Manhwa News;7.9K;NEWSLETTER;@webtoonchronicle;01-07-2026;02-07-2026
287;comics@bleedingcool.com;;;;Bleeding Cool Comics;;;;;;;;;;;PRESS;Free cross-media release announcement;Pop Culture and Indie Comics;300K+;Website;@bleedingcool;01-07-2026;02-07-2026
289;contact@algeriangeeknet.dz;;;;Algerian Geek Network;;;;;;;;;;;PRESS;Connect over the 23-year journey.;French/Arabic — Geek culture and indie media;29K;YOUTUBE;@algeriangeeknet;01-07-2026;02-07-2026
290;contact@animesubstack.com;;;;The Anime Substack;;;;;;;;;;;WEBTOON/MANGA;Solo dev 23-year transmedia project with webtoon;English — Anime & Manga;5K;NEWSLETTER;@animesubstack;01-07-2026;02-07-2026
292;contact@durbangeeknet.co.za;;;;Durban Geek Network;;;;;;;;;;;PRESS;African market outreach;English — Durban Geek Network;28K;YOUTUBE;@durbangeeknet;01-07-2026;02-07-2026
293;contact@egygeeknet.com;;;;Egyptian Geek Network;;;;;;;;;;;PRESS;Connect over the 23-year journey of a solo creator from Brazil.;Arabic/English — Geek culture and indie media;42K;YOUTUBE;@egygeeknet;01-07-2026;02-07-2026
294;contact@escapistmag.com;;;;Escapist Korea;;;;;;;;;;;PRESS;Pitch free indie action universe and solo creator story;Korean gaming/pop culture;-;Website;@escapist_kr;01-07-2026;02-07-2026
296;contact@geekculture.com.au;;;;Geek Culture Down Under;;;;;;;;;;;PRESS;Geek culture press;Full transmedia universe books+webtoon+RPG;≈35K;YouTube;@geekculturedu;01-07-2026;02-07-2026
297;contact@geekgirlauthority.com;;;;Geek Girl Authority;;;;;;;;;;;PRESS;Free digital access model overview;Pop Culture, Webtoons, Anime;120K+;Website;@GeekGirlAuth;01-07-2026;02-07-2026
298;contact@georgiaindiepress.ge;;;;Georgia Indie Press;;;;;;;;;;;PRESS;Press pitch for free tactical hex RPG and 36-track soundtrack;Gaming News, Indie Reviews;;Website;@georgiaindiepress;01-07-2026;02-07-2026
299;contact@ghanageeknet.com;;;;Ghana Geek Network;;;;;;;;;;;PRESS;Connect over the 23-year journey of a solo creator from Brazil.;English — Geek culture and indie media;18K;YOUTUBE;@ghanageeknet;01-07-2026;02-07-2026
302;contact@jozigeeknet.co.za;;;;Jozi Geek Network;;;;;;;;;;;PRESS;Connect over the 23-year journey of a solo creator from Brazil building an independent IP.;English — Geek culture and indie media;32K;YOUTUBE;@jozigeeknet;01-07-2026;02-07-2026
303;contact@kenyageeknet.com;;;;Kenya Geek Network;;;;;;;;;;;PRESS;Connect over the 23-year journey of a solo creator from Brazil building an independent IP.;English — Geek culture and indie media;21K;YOUTUBE;@kenyageeknet;01-07-2026;02-07-2026
304;contact@lagosgeeknet.com;;;;Lagos Geek Network;;;;;;;;;;;PRESS;Connect over the 23-year journey of a solo creator from Brazil building an independent IP.;English — Geek culture and indie media;24K;YOUTUBE;@lagosgeeknet;01-07-2026;02-07-2026
305;contact@moroccangeeknet.ma;;;;Moroccan Geek Network;;;;;;;;;;;PRESS;Connect over the 23-year journey of a solo creator from Brazil.;French/Arabic — Geek culture and indie media;35K;YOUTUBE;@moroccangeeknet;01-07-2026;02-07-2026
306;contact@naijaindiepress.com;;;;Naija Indie Press;;;;;;;;;;;PRESS;Focus on the developer\u2019s background from Brazil and his solo marathon project.;English — Indie creator press and gaming outlets;11K;YOUTUBE;@naijaindiepress;01-07-2026;02-07-2026
