CONTACT ID;EMAIL;sib_contact_owner;sib_next_task;SOBRENOME;NOME;_DETECTED_LANGUAGE;DOUBLE_OPT-IN;OPT_IN;CONTACT_TIMEZONE;EXT_ID;LINKEDIN;JOB_TITLE;WHATSAPP;LANDLINE_NUMBER;SMS;ANGULO;CATEGORY;NICHO;SEGUIDORES;PLATAFORMA;SOCIAL_HANDLE;ADDED_TIME;MODIFIED_TIME
194;contato@boletimnerd.com;;;;Boletim Nerd;;;;;;;;;;;Enviar o webtoon de ação e destacar a possibilidade de entrevista sobre criação de universo brasileiro;PRESS;Quadrinhos, cultura nerd;≈10K;Site / Podcast;@boletimnerd;28-06-2026;28-06-2026
195;contato@centralgeekbrasil.com.br;;;;Central Geek Brasil;;;;;;;;;;;Release multimídia completo cobrindo as quatro frentes do projeto Illusion Fight;PRESS;Anime, otaku, geek, pop culture;≈55K;Linktree;@centralgeek_br;28-06-2026;28-06-2026
197;contato@cinemascopebr.com.br;;;;Cinemascope BR;;;;;;;;;;;Pitchar pelo lado narrativo: universo seriado gratuito com trilha e visual de anime;PRESS;Cinema, séries, cultura pop;≈50K;Site / YouTube;@cinemascopebr;28-06-2026;28-06-2026
200;contato@culturageekbr.com;;;;Cultura Geek BR;;;;;;;;;;;Matéria cobrindo o lançamento conjunto de livro, quadrinho e jogo sem custo para o leitor;PRESS;Anime, otaku, geek, pop culture;≈20K;Bio.link;@culturageek_br;28-06-2026;28-06-2026
201;contato@deliriumnerd.com.br;;;;Delirium Nerd;;;;;;;;;;;Pitchar Illusion Fight como IP brasileira gratuita com estética anime e múltiplas mídias;PRESS;Cultura pop, cinema, animes;≈50K;Site / Redes sociais;@deliriumnerd;28-06-2026;28-06-2026
204;contato@geekecia.com.br;;;;Geek e Companhia;;;;;;;;;;;Apresentação geral da plataforma illusionfight.com e facilidade de leitura online;PRESS;Anime, otaku, geek, pop culture;≈12K;Linktree;@geekecia;28-06-2026;28-06-2026
207;contato@geeksensation.com.br;;;;Geek Sensation;;;;;;;;;;;Matéria de entretenimento cobrindo a trilha sonora e os momentos mais marcantes da história;PRESS;Anime, otaku, geek, pop culture;≈18K;Linktree;@geeksensation;28-06-2026;28-06-2026
211;contato@marchanerd.com;;;;Marcha Nerd;;;;;;;;;;;Abordar como ação de cultura nerd nacional com potencial para divulgação comunitária e música/fanbase.;PRESS;Cultura nerd, eventos, música e fandom;≈1K–10K;Evento / Bloco / Cultura geek;@marchanerd;28-06-2026;28-06-2026
212;contato@mundoexteriorpt.com;;;;Mundo Exterior PT;;;;;;;;;;;Brazilian diaspora blog, 23-year solo developer transmedia story;PRESS;Anime, Indie Games;;Blog;@mundoexteriorpt;28-06-2026;28-06-2026
213;contato@nerdalerta.com.br;;;;Nerd Alerta;;;;;;;;;;;Dica de entretenimento gratuito de alta qualidade para as férias ou fins de semana;PRESS;Anime, otaku, geek, pop culture;≈19K;Beacons;@nerdalerta;28-06-2026;28-06-2026
214;contato@nerdarcano.com.br;;;;Nerd Arcano;;;;;;;;;;;Análise das inspirações de fantasia sombria presentes nos livros e na webtoon;PRESS;Anime, otaku, geek, pop culture;≈5K;Beacons;@nerdarcano;28-06-2026;28-06-2026
215;contato@nerdbase.com.br;;;;Nerd Base;;;;;;;;;;;Matéria destacando a paixão e a dedicação do desenvolvedor solo na criação do ecossistema;PRESS;Anime, otaku, geek, pop culture;≈26K;Linktree;@nerdbase_oficial;28-06-2026;28-06-2026
217;contato@nerdconectado.com.br;;;;Nerd Conectado;;;;;;;;;;;Matéria focada no site centralizado que reúne quadrinho, música, livro e jogo de graça;PRESS;Anime, otaku, geek, pop culture;≈30K;Bio.link;@nerdconectado;28-06-2026;28-06-2026
220;contato@nerdnation.com.br;;;;Nerd Nation;;;;;;;;;;;Propor matéria sobre o lançamento transmídia gratuito de ação e fantasia;PRESS;Cultura pop, entretenimento;≈10K-50K;Site / Redes sociais;@nerdnation;28-06-2026;28-06-2026
221;contato@nerdnoticias.com.br;;;;Nerd Notícias;;;;;;;;;;;Release de imprensa sobre o projeto transmídia focado no público otaku e gamer brasileiro;PRESS;Anime, otaku, geek, pop culture;≈14K;Linktree;@nerdnoticias;28-06-2026;28-06-2026
222;contato@nerdologiaalt.com;;;;Nerdologia Alternativa;;;;;;;;;;;Análise do lore das facções e da construção de mundo ao longo de duas décadas;PRESS;Anime, otaku, geek, pop culture;≈4K;Bio.link;@nerdologiaalt;28-06-2026;28-06-2026
223;contato@nerdologiapura.com.br;;;;Nerdologia Pura;;;;;;;;;;;Review da experiência integrada de ler, jogar e ouvir simultaneamente o projeto;PRESS;Anime, otaku, geek, pop culture;≈16K;Linktree;@nerdologiapura;28-06-2026;28-06-2026
224;contato@nerdstation.com.br;;;;Nerd Station;;;;;;;;;;;Matéria destacando a trilha sonora original de 36 faixas criada para embalar o universo;PRESS;Anime, otaku, geek, pop culture;≈40K;Linktree;@nerdstation_br;28-06-2026;28-06-2026
225;contato@nerdvibe.com.br;;;;Nerd Vibe Brasil;;;;;;;;;;;Chamada interativa para os seguidores escolherem sua facção favorita no universo grátis;PRESS;Anime, otaku, geek, pop culture;≈22K;Carrd;@nerdvibe_br;28-06-2026;28-06-2026
227;contato@nerdzone.com.br;;;;Nerd Zone Brasil;;;;;;;;;;;Destaque para o trabalho solo brasileiro de longa data ganhando o mercado global;PRESS;Anime, otaku, geek, pop culture;≈8K;Carrd;@nerdzone_br;28-06-2026;28-06-2026
