"Nome","Handle","Plataforma","Seguidores","Contato","Nicho","Angulo","Categoria","Pais"
"The Corner of Story and Game","@StoryAndGame","Podcast / YouTube","≈1.4K","gerald@storyandgame.com","Storytelling","worldbuilding","and games","Offer a guest/story angle about turning one action universe into books"
"Classic Gamers Guild Podcast","@ClassicGamersGuild","Podcast / YouTube","≈1K","mail@classicgamersguild.com","Classic","adventure","and story-driven games","Position the tactical RPG as a narrative-first indie with retro/turn-based appeal and a free wider universe."
"Creative Boom","@creativeboom","Website / Podcast / Newsletter","≈1M+ creatives monthly","submit@creativeboom.com","Creative industries","illustration","design","animation"
"The Debug Log","@TheDebugLog","Podcast","---","thedebuglog@gmail.com","Game development podcast","Pitch the developer/process story behind building one free universe across game","webtoon","books"
"Boing Boing","@BoingBoing","Website","5M+ monthly","tips@boingboing.net","","Geek/DIY/culture blog","Solo creator 23-year transmedia project - perfect DIY creator story pitch for geek culture audience","PRESS"
"Geeks OUT","@GeeksOUT","Website / Podcast / Community","-","info@geeksout.org","","Geek culture","comics","games"
"VG247","@VG247","Website","-","contact@vg247.com","Video game blog","Major UK gaming blog","press release","PRESS"
"Beat British","@beatbritish","Podcast","-","theguys@beatbritish.co.uk","Gaming podcast","UK gaming podcast","pitch indie tactical RPG","GAMES"
"Indie-Credible","@indiecredible","Podcast","-","Podcast@indie-credible.com","","Indie game podcast","UK indie game podcast","pitch free tactical RPG & transmedia"
"The Computer Game Show","@tcgs","Podcast","-","podcast@tcgs.co","UK gaming podcast","UK gaming podcast","pitch indie tactical RPG & OST","GAMES"
"Xbox Tavern","@XboxTavern","Website / Podcast","1.5K Facebook","cloud@xboxtavern.com","Xbox reviews","features","interviews and ID@Xbox games","Pitch the free tactical RPG as an indie review"
"Arcade Attack","@arcadeattackUK","Podcast / Website / YouTube","UK retro gaming podcast","info@arcadeattack.co.uk","UK retro gaming podcast","interviews","retro console coverage","23-year solo dev journey has deep retro gaming roots. Pitch the lifelong gamer story"
"El Vortex","@ElVortex","Website/YouTube/Podcast","-","contacto@elvortex.com","","Geek culture","video games","comics"
"Rol Condados","-","Website/Podcast Directory","-","info@rolcondados.com","RPG community and podcast directory in Spanish","Focus the universe","factions and tactical RPG as inspiration material for RPG players and podcasters","GAMES"
"Mermelada de Juegos","@mermeladadejuegos","Podcast/Community","2000","ludica@mermeladadejuegos.org","","Indie games/podcast","Podcast and community of game creation (video games","RPG"
"Warhammer Historia","@WarhammerHistoria","Podcast","-","warhammerhistoria@gmail.com","Warhammer","lore","RPG and warlike fantasy","Angle of factions"
"Nerditud / Nerdcast","@nerditud","Web / podcast / community","-","nerditud@gmail.com","","Geek culture","series","films"
"La Casa de EL","@LaCasaDeEL","Web / podcast","-","info@lacasadeel.net","Comics","manga","film","series and video games"
"Solo Dev Journey","@solodevjourney","PODCAST","≈15K","interviews@solodevjourney.com","English — Game development and indie dev podcast shows","Veteran developer built massive free IP over 23 years without external funding","GAMES","US"
