"Name","Title","Company","Platform","Email","Language","Niche","Outreach Angle","Category","Country"
"Devolver Submissions","Publishing Team","Devolver Digital","INDUSTRY","pitch@devolverdigital.com","English","Indie Games","Pitching a tactical hex-grid RPG backed by FNAF and God of War credits.","GAMES","United States"
"Annapurna Pitch","Interactive Development","Annapurna Interactive","INDUSTRY","pitch@annapurna.pics","English","Narrative Games","Proposing a deep-lore tactical RPG with an existing 36-track original score.","GAMES","United States"
"Raw Fury Team","Developer Relations","Raw Fury","INDUSTRY","rates@rawfury.com","English","Indie Strategy Games","Pitching tactical hex-grid gameplay mechanics tied into a live webtoon universe.","GAMES","Sweden"
"Humble Games","Acquisitions Department","Humble Games","INDUSTRY","proposals@humblebundle.com","English","Indie RPGs","Proposing distribution and publishing for a comprehensive 23-year solo project.","GAMES","United States"
"Team17 Submissions","Greenlight Committee","Team17","INDUSTRY","pitches@team17.com","English","Tactical & Indie Games","Presenting a completed tactical hex-grid RPG ecosystem with ready-made IP.","GAMES","United Kingdom"
"Finji Interactive","Developer Submissions","Finji","INDUSTRY","hello@finji.co","English","Indie Strategy","Pitching a distinct multi-format universe from an established publisher co-founder.","GAMES","United States"
"Chucklefish Team","Publishing Department","Chucklefish","INDUSTRY","business@chucklefish.org","English","Indie Strategy/RPGs","Cross-media hex-grid RPG ecosystem presentation with live webtoon assets.","GAMES","United Kingdom"
"Armor Games","Indie Publishing","Armor Games Studios","INDUSTRY","publishing@armorgames.com","English","Tactical Strategy","Presenting a live Steam RPG seeking publisher-backed marketing expansion.","GAMES","United States"
"Fellow Traveller","Narrative Indie Games","Fellow Traveller","INDUSTRY","pitch@fellowtraveller.games","English","Deep Lore RPGs","Pitching a 23-year solo-developed narrative framework with complete assets.","GAMES","Australia"
"Neon Doctrine","Global Publishing","Neon Doctrine","INDUSTRY","pitch@neondoctrine.com","English","Action RPGs","Multi-language action universe outreach targeting Asian and Western markets.","GAMES","Taiwan"
"Wired Productions","Acquisitions Board","Wired Productions","INDUSTRY","pitch@wiredproductions.com","English","Indie Action Games","Leveraging proven senior development track record to pitch finished RPG IP.","GAMES","United Kingdom"
"Headup Games","Developer Relations","Headup Games","INDUSTRY","pitch@headupgames.com","English","Indie RPGs","Proposing scaling and distribution for an active three-language tactical game.","GAMES","Germany"
"Modern Wolf","Strategy Publishing","Modern Wolf","INDUSTRY","contact@modernwolf.net","English","Tactical Strategy","Pitching a hex-grid game featuring a complete 36-track musical profile.","GAMES","United Kingdom"
"Super.com Team","Greenlight Board","Super.com","INDUSTRY","pitch@super.com","English","Action RPGs","Presenting an active live-universe project needing publishing scale.","GAMES","United States"
"NetEase Indies","Global Partnerships","NetEase Games","INDUSTRY","game-pitch@service.netease.com","English","Action Universes","Licensing adaptation rights for a massive, pre-built cross-media lore base.","GAMES","China"
"Tencent Games","Indie Investment & Pub","Tencent Games","INDUSTRY","indie-partnership@tencent.com","English","Tactical Strategy","Proposing strategic partnership for a multi-format action ecosystem.","GAMES","China"
"Microids Team","Acquisitions & Licensing","Microids","INDUSTRY","publishing@microids.com","English","Comic-to-Game Adaptations","Proposing strong synergy between an active webtoon series and tactical RPG.","GAMES","France"
"Focus Entertainment","Publishing Department","Focus Entertainment","INDUSTRY","proposals@focus-ent.com","English","Action & Strategy RPGs","Presenting high-scope indie universe built by established publisher CTO.","GAMES","France"
"Daedalic Pub","Acquisitions Committee","Daedalic Entertainment","INDUSTRY","pitch@daedalic.de","English","Story-Driven Strategy","Pitching an extensive lore-rich webtoon and tactical hex-grid RPG combo.","GAMES","Germany"
