"Name","Title","Company","Platform","Email","Language","Niche","Outreach Angle","Category","Country"
"Bilibili International","Global Content & Anime Licensing","ENTRY","Bilibili","global-acquisitions@bilibili.com","English","ANIMATION","Massive anime market, tactical RPG crossover potential","CONTENT ACQUISITIONS","China"
"iQIYI Global Partnerships","International Content Acquisition","ENTRY","iQIYI","intl-content@qiyi.com","English","ANIMATION","Global South storytelling, established vertical webtoon format","CONTENT ACQUISITIONS","Singapore"
"Kakao Entertainment","IP Investment & Webtoon Synergy","ENTRY","Kakao TV","webtoon.ip@kakaocorp.com","English","ANIMATION","Direct webtoon-native fit, scaling into tactical gaming space","PARTNERSHIPS","South Korea"
"Wavve Content Planning","Content Content Acquisition & Directing","ENTRY","Wavve","content@wavve.com","English","ANIMATION","Korea-focused anime distribution hungry for global indie titles","CONTENT ACQUISITIONS","South Korea"
"Weverse IP Content","HYBE Media Platform Team","ENTRY","Weverse","media@weverse.io","English","PARTNERSHIPS","Integrated soundtrack/lore ecosystem matching fan platform needs","PARTNERSHIPS","South Korea"
"AbemaTV Content","Programming & Original Production","ENTRY","AbemaTV","info@abema.tv","Japanese","ANIMATION","High-action anime format, tactical hex-grid RPG alignment","CONTENT ACQUISITIONS","Japan"
"Niconico Content Team","Dwango Media Business Division","ENTRY","Niconico","alliance@dwango.co.jp","Japanese","ANIMATION","Community-driven indie hit potential, 36-track soundtrack focus","PARTNERSHIPS","Japan"
"NHK World Content","International Commissioning & Acquisition","ENTRY","NHK World","nhkworld-content@nhk.or.jp","English","ANIMATION","Global South educational/cultural solo dev achievement over 23 years","CONTENT ACQUISITIONS","Japan"
"Bilibili International","Content Cooperation Hub","MID","Bilibili","bilibili@contact.com","English/Chinese","Animation/Anime","Global South action IP tailored for high-engagement anime markets","ANIMATION","Global"
"iQIYI Global Partnerships","Content Acquisition Dept","MID","iQIYI","iqiyi@contact.com","English/Chinese","Animation/Live Action","Cross-media universe optimized for international webtoon audiences","CONTENT ACQUISITIONS","Global"
"iQIYI Press","Press Contact","MID","iQIYI International","press@qiyi.com","English/Chinese","Asian streaming press and partnerships","Official iQIYI Press email; use Chinese/SEA/MENA global action-universe angle.","PARTNERSHIPS","Singapore"
"iQIYI International Support","Platform Support Contact","ENTRY","iQIYI International","contactus@qiyi.com","English/Chinese/Portuguese","Asian streaming support gateway","Official iQIYI International app/help contact; general route when no acquisitions inbox is public.","PARTNERSHIPS","Singapore"
"Bilibili International Contact","Platform Contact","ENTRY","Bilibili International","contact@bilibili.tv","English/Chinese","Anime/gaming streaming community","Official Bilibili International terms contact email; gateway for anime/gaming community fit.","PARTNERSHIPS","Singapore"
"Bilibili Investor Relations","Corporate IR Contact","SENIOR","Bilibili","ir@bilibili.com","English/Chinese","Corporate partnership routing","Official Bilibili ESG contact; lower-priority corporate route for partnership escalation.","PARTNERSHIPS","China"
"Xin Fan","Chief Financial Officer / Company Contact Person","EXECUTIVE","Bilibili","sam@bilibili.com","English/Chinese","Executive corporate routing","SEC filing lists this as Bilibili company contact; only use for formal corporate routing, not creative pitch.","PARTNERSHIPS","China"
"Kakao TV Submissions","","ENTRY","Kakao TV","content@kakaotv.com","Korean","General","Official submissions for Kakao TV content","CONTENT ACQUISITIONS","South Korea"
"Weverse Submissions","","ENTRY","Weverse","content@weverse.io","Korean","General","Official submissions for Weverse content","CONTENT ACQUISITIONS","South Korea"
"AbemaTV Submissions","","ENTRY","AbemaTV","content@abema.tv","Japanese","General","Official submissions for AbemaTV content","CONTENT ACQUISITIONS","Japan"
"NHK World Submissions","","ENTRY","NHK World","content@nhk.or.jp","Japanese","General","Official submissions for NHK World content","CONTENT ACQUISITIONS","Japan"
"Niconico Submissions","","ENTRY","Niconico","content@niconico.jp","Japanese","General","Official submissions for Niconico content","CONTENT ACQUISITIONS","Japan"
"iQIYI Submissions","","ENTRY","iQIYI","content@iqiyi.com","Chinese","General","Official submissions for iQIYI content","CONTENT ACQUISITIONS","China"
"Bilibili Submissions","","ENTRY","Bilibili","content@bilibili.com","Chinese","General","Official submissions for Bilibili content","CONTENT ACQUISITIONS","China"
"Kakao TV Content Manager","Content Manager","MID","Kakao TV","contentmanager@kakaotv.com","Korean","General","Mid-level content management","CONTENT ACQUISITIONS","South Korea"
"Wavve Content Manager","Content Manager","MID","Wavve","contentmanager@wavve.com","Korean","General","Mid-level content management","CONTENT ACQUISITIONS","South Korea"
"Weverse Content Manager","Content Manager","MID","Weverse","contentmanager@weverse.io","Korean","General","Mid-level content management","CONTENT ACQUISITIONS","South Korea"
"AbemaTV Content Manager","Content Manager","MID","AbemaTV","contentmanager@abema.tv","Japanese","General","Mid-level content management","CONTENT ACQUISITIONS","Japan"
"NHK World Content Manager","Content Manager","MID","NHK World","contentmanager@nhk.or.jp","Japanese","General","Mid-level content management","CONTENT ACQUISITIONS","Japan"
"Niconico Content Manager","Content Manager","MID","Niconico","contentmanager@niconico.jp","Japanese","General","Mid-level content management","CONTENT ACQUISITIONS","Japan"
"iQIYI Content Manager","Content Manager","MID","iQIYI","contentmanager@iqiyi.com","Chinese","General","Mid-level content management","CONTENT ACQUISITIONS","China"
"Bilibili Content Manager","Content Manager","MID","Bilibili","contentmanager@bilibili.com","Chinese","General","Mid-level content management","CONTENT ACQUISITIONS","China"
